Time,Lat,Long,Alt,Speed,Sats
45964.661639446,0,0,0,0,0
45965.277938787,39.764461,-105.226235,1782.3,,7
45965.477952317,39.764461,-105.226235,1782.3,0.52,7
45965.677950661,39.764461,-105.226235,1782.3,0.52,7
45965.877986487,39.764461,-105.226235,1782.3,0.52,7
45966.077970906,39.764461,-105.226235,1782.3,0.52,7
45966.277971992,39.764463,-105.226236,1782.3,0.52,7
45966.477976985,39.764463,-105.226236,1782.3,0.58,7
45966.678019756,39.764463,-105.226236,1782.3,0.58,7
45966.877984304,39.764463,-105.226236,1782.3,0.58,7
45967.077976112,39.764463,-105.226236,1782.3,0.58,7
45967.277989253,39.764463,-105.226238,1782.3,0.58,7
45967.477989876,39.764463,-105.226238,1782.3,0.69,7
45967.677997665,39.764463,-105.226238,1782.3,0.69,7
45967.87805164,39.764463,-105.226238,1782.3,0.69,7
45968.078002856,39.764463,-105.226238,1782.3,0.69,7
45968.27800483,39.764465,-105.22624,1782.3,0.69,7
45968.478017287,39.764465,-105.22624,1782.3,0.79,7
45968.678011187,39.764465,-105.22624,1782.3,0.79,7
45968.878011495,39.764465,-105.22624,1782.3,0.79,7
45969.078022415,39.764465,-105.22624,1782.3,0.79,7
45969.278027408,39.764466,-105.226241,1782.3,0.79,7
45969.478023939,39.764466,-105.226241,1782.3,1.09,7
45969.678033191,39.764466,-105.226241,1782.3,1.09,7
45969.878033481,39.764466,-105.226241,1782.3,1.09,7
45970.078045475,39.764466,-105.226241,1782.3,1.09,7
45970.278056376,39.764471,-105.226255,1782.3,1.09,7
45970.478063258,39.764471,-105.226255,1782.3,1.22,7
45970.678061585,39.764471,-105.226255,1782.3,1.22,7
45970.87806069,39.764471,-105.226255,1782.3,1.22,7
45971.078100925,39.764471,-105.226255,1782.3,1.22,7
45971.282843081,39.764475,-105.226258,1782.2,1.22,8
45971.482856241,39.764475,-105.226258,1782.2,1.2,8
45971.682857272,39.764475,-105.226258,1782.2,1.2,8
45971.882864673,39.764475,-105.226258,1782.2,1.2,8
45972.08285776,39.764475,-105.226258,1782.2,1.2,8
45972.282873457,39.764476,-105.226261,1782.2,1.2,8
45972.482864636,39.764476,-105.226261,1782.2,1.18,8
