Time,Lat,Long,Alt,Speed,Sats
45294.840622552,0,0,0,0,0
45295.266603474,39.764416,-105.22629,1781.9,,5
45295.466607477,39.764416,-105.22629,1781.9,1.0,5
45295.666599869,39.764416,-105.22629,1781.9,1.0,5
45295.866611464,39.764416,-105.22629,1781.9,1.0,5
45296.066621282,39.764416,-105.22629,1781.9,1.0,5
45296.266632582,39.764418,-105.226288,1781.9,1.0,5
45296.466629363,39.764418,-105.226288,1781.9,0.6,5
45296.666638107,39.764418,-105.226288,1781.9,0.6,5
45296.866636537,39.764418,-105.226288,1781.9,0.6,5
45297.066651985,39.764418,-105.226288,1781.9,0.6,5
45297.266660304,39.76441,-105.2263,1781.8,0.6,6
45297.46666216,39.76441,-105.2263,1781.8,1.12,6
45297.666659905,39.76441,-105.2263,1781.8,1.12,6
45297.866668983,39.76441,-105.2263,1781.8,1.12,6
45298.066671969,39.76441,-105.2263,1781.8,1.12,6
45298.266665715,39.764406,-105.226311,1781.8,1.12,6
45298.466674442,39.764406,-105.226311,1781.8,1.55,6
45298.666694428,39.764406,-105.226311,1781.8,1.55,6
