Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ
46711.10040352,0,0,0,0,0,0
46711.358015229,-0.0879,-0.084,1.0,-4.763,5.01,179.385
46711.55802051,-0.0884,-0.083,0.9985,-4.763,5.01,179.385
46711.758022216,-0.0884,-0.084,0.999,-4.763,5.01,179.385
46711.958014941,-0.0874,-0.0835,0.999,-4.763,5.01,179.385
46712.221092001,-0.0869,-0.0835,0.999,-4.763,5.01,179.385
46712.421118115,-0.0874,-0.083,0.999,-4.763,5.01,179.385
46712.621146562,-0.0874,-0.083,0.999,-4.763,5.01,179.385
46712.821147009,-0.0874,-0.083,0.999,-4.763,5.01,179.385
46713.021154697,-0.0874,-0.0835,1.0,-4.763,5.01,179.385
46713.226131049,-0.0874,-0.0835,0.9995,-4.763,5.01,179.385
46713.426146015,-0.0874,-0.0835,0.9985,-4.763,5.01,179.385
46713.626149869,-0.0879,-0.0835,0.9985,-4.763,5.01,179.385
46713.82620278,-0.0874,-0.083,0.999,-4.763,5.01,179.385
46714.02619606,-0.0874,-0.083,0.999,-4.763,5.01,179.385
46714.226234341,-0.0879,-0.083,0.9995,-4.763,5.004,179.385
46714.426185436,-0.0879,-0.0835,1.0005,-4.763,5.004,179.385
46714.626199532,-0.0879,-0.0825,0.999,-4.763,5.004,179.385
46714.82625559,-0.0869,-0.083,1.0,-4.763,5.004,179.385
46715.026257,-0.0884,-0.083,0.9995,-4.763,5.004,179.385
46715.227246488,-0.0884,-0.0825,0.9985,-4.763,5.004,179.385
46715.42723162,-0.0884,-0.083,1.0,-4.763,5.004,179.385
46715.62720153,-0.0884,-0.0835,0.9995,-4.763,5.01,179.385
46715.827210718,-0.0869,-0.0825,0.9985,-4.763,5.01,179.385
46716.02724987,-0.0869,-0.083,1.0,-4.763,5.01,179.385
46716.229301398,-0.0869,-0.083,0.999,-4.763,5.01,179.385
46716.429316845,-0.0884,-0.083,0.9985,-4.763,5.01,179.385
46716.629383959,-0.0884,-0.0835,0.999,-4.763,5.004,179.385
46716.829368258,-0.0879,-0.083,0.9995,-4.763,5.004,179.385
46717.029381539,-0.0879,-0.083,1.0,-4.763,5.004,179.385
46717.229380727,-0.0874,-0.0835,0.999,-4.763,5.004,179.385
46717.429369397,-0.0879,-0.083,0.999,-4.763,5.004,179.385
46717.62939514,-0.0869,-0.0835,0.999,-4.763,5.004,179.385
46717.829403439,-0.0879,-0.0835,0.999,-4.763,5.004,179.385
46718.029400794,-0.0884,-0.0835,0.9995,-4.763,5.004,179.385
46718.229336278,-0.0884,-0.083,1.0,-4.763,5.004,179.385
46718.429344837,-0.0874,-0.082,0.999,-4.763,5.004,179.385
46718.629342044,-0.0874,-0.0835,0.999,-4.763,5.004,179.385
46718.829342843,-0.0869,-0.083,0.999,-4.763,5.01,179.385
46719.029403716,-0.0879,-0.0835,0.9995,-4.763,5.01,179.385
46719.229402145,-0.0879,-0.083,0.9995,-4.763,5.004,179.385
46719.429404944,-0.0879,-0.083,0.999,-4.763,5.004,179.385
46719.62941341,-0.0879,-0.0835,1.0,-4.763,5.004,179.385
46719.829424673,-0.0879,-0.083,0.9995,-4.763,5.004,179.385
46720.029447139,-0.0879,-0.0835,1.0,-4.763,5.004,179.385
46720.229454586,-0.0879,-0.083,0.999,-4.763,5.004,179.385
46720.429448385,-0.0879,-0.083,1.0,-4.763,5.004,179.385
46720.629458629,-0.0889,-0.083,0.999,-4.763,5.004,179.385
46720.829448984,-0.0884,-0.084,0.999,-4.763,5.004,179.385
46721.029441969,-0.0869,-0.083,0.999,-4.763,5.004,179.385
46721.229411583,-0.0874,-0.0835,0.999,-4.763,5.004,179.385
46721.42941853,-0.0879,-0.0835,0.999,-4.763,5.004,179.385
46721.629465441,-0.0874,-0.0825,0.999,-4.763,5.004,179.385
46721.829459351,-0.0874,-0.0825,0.999,-4.763,5.004,179.385
46722.029468428,-0.0874,-0.0825,0.9995,-4.763,5.004,179.385
46722.229486802,-0.0879,-0.0825,0.9995,-4.763,5.004,179.385
46722.429431101,-0.0874,-0.083,0.999,-4.763,5.004,179.385
46722.629442697,-0.0874,-0.083,0.9995,-4.763,5.004,179.385
46722.829490941,-0.0869,-0.0825,0.999,-4.757,5.004,179.385
46723.029495703,-0.0879,-0.084,0.999,-4.757,5.004,179.385
46723.229485558,-0.0879,-0.0825,0.999,-4.757,5.004,179.385
46723.429509821,-0.0879,-0.0835,0.9995,-4.763,5.004,179.385
46723.629506509,-0.0879,-0.083,0.999,-4.757,5.004,179.385
46723.82951116,-0.0879,-0.083,0.9995,-4.757,5.004,179.385
46724.029526941,-0.0879,-0.0825,0.9995,-4.757,5.004,179.385
46724.229540167,-0.0879,-0.0825,0.999,-4.757,5.004,179.385
46724.429536207,-0.0874,-0.083,0.999,-4.757,5.01,179.385
46724.629537265,-0.0874,-0.0835,0.9995,-4.757,5.01,179.385
46724.829555306,-0.0879,-0.083,0.999,-4.757,5.01,179.385
46725.029557827,-0.0884,-0.083,0.9995,-4.757,5.004,179.385
46725.229573794,-0.0884,-0.0825,0.9995,-4.757,5.004,179.385
46725.429558056,-0.0884,-0.0835,0.999,-4.757,5.004,179.385
46725.629566948,-0.0889,-0.0825,0.9995,-4.757,5.004,179.385
46725.829572433,-0.0884,-0.0825,1.0,-4.757,5.004,179.385
46726.02958864,-0.0869,-0.083,0.9995,-4.757,5.004,179.385
46726.22958781,-0.0879,-0.083,0.999,-4.757,5.004,179.385
46726.429586054,-0.0879,-0.0825,0.9995,-4.757,5.004,179.385
46726.629591557,-0.0884,-0.0825,0.999,-4.757,5.004,179.385
46726.829605153,-0.0879,-0.083,0.999,-4.757,5.004,179.385
46727.029617675,-0.0874,-0.083,0.9995,-4.757,5.004,179.385
46727.232135649,-0.0869,-0.0835,0.9995,-4.757,5.004,179.385
46727.432125282,-0.0874,-0.0825,0.9995,-4.763,5.004,179.385
46727.63215073,-0.0874,-0.0835,0.999,-4.763,5.004,179.385
46727.832151492,-0.0879,-0.0835,0.9985,-4.763,5.004,179.385
46728.03215531,-0.0879,-0.0835,0.9995,-4.763,5.004,179.385
46728.232169129,-0.0874,-0.083,0.999,-4.757,5.004,179.385
46728.43217915,-0.0874,-0.084,0.9995,-4.757,5.004,179.385
46728.632186728,-0.0874,-0.0835,0.9995,-4.757,4.999,179.385
46728.832179601,-0.0874,-0.0835,0.999,-4.757,4.999,179.385
46729.032220179,-0.0879,-0.0825,0.999,-4.757,4.999,179.385
46729.232217164,-0.0874,-0.0825,0.999,-4.757,4.999,179.385
46729.432203334,-0.0879,-0.0835,0.9995,-4.757,5.004,179.385
46729.632197411,-0.0879,-0.0835,0.999,-4.757,5.004,179.385
46729.832212915,-0.0879,-0.0825,0.999,-4.757,5.004,179.385
46730.032210251,-0.0869,-0.082,0.999,-4.757,5.004,179.385
46730.232220644,-0.0884,-0.0825,0.999,-4.757,5.004,179.385
46730.432171017,-0.0879,-0.083,0.9985,-4.757,5.004,179.385
46730.632190502,-0.0889,-0.0825,0.999,-4.757,5.004,179.385
46730.832224006,-0.0874,-0.0825,0.999,-4.757,5.004,179.385
46731.032232879,-0.0874,-0.0825,0.9995,-4.757,5.004,179.385
46731.232199105,-0.0874,-0.083,0.9995,-4.757,5.004,179.385
46731.432201979,-0.0879,-0.083,0.9995,-4.757,5.004,179.385
46731.632254371,-0.0874,-0.082,0.999,-4.757,5.004,179.385
46731.832260041,-0.0879,-0.084,0.999,-4.757,5.004,179.385
46732.032218674,-0.0889,-0.0825,0.9985,-4.757,5.004,179.385
46732.232268678,-0.0874,-0.0835,0.9995,-4.757,5.004,179.385
46732.432275237,-0.0879,-0.083,0.999,-4.757,5.004,179.385
46732.632276852,-0.0879,-0.0835,0.999,-4.757,5.01,179.385
46732.832284429,-0.0879,-0.083,0.999,-4.757,5.01,179.385
46733.032300136,-0.0874,-0.083,0.999,-4.757,5.01,179.385
46733.233192958,-0.0874,-0.083,0.9995,-4.757,5.01,179.385
46733.433200757,-0.0879,-0.082,1.0,-4.757,5.01,179.385
46733.633212539,-0.0879,-0.0835,0.9985,-4.757,5.01,179.385
46733.833255857,-0.0869,-0.0825,0.999,-4.757,5.01,179.385
46734.033217953,-0.0879,-0.083,0.999,-4.763,5.004,179.385
46734.233284753,-0.0879,-0.083,0.9995,-4.763,5.004,179.385
46734.433238053,-0.0879,-0.082,0.999,-4.763,5.004,179.385
46734.633304094,-0.0879,-0.0835,1.0,-4.757,5.004,179.385
46734.833304968,-0.0869,-0.0835,0.9995,-4.763,5.004,179.385
46735.033327416,-0.0869,-0.0835,0.999,-4.763,5.004,179.385
46735.233272919,-0.0879,-0.084,0.999,-4.763,5.004,179.385
46735.4332892,-0.0884,-0.0825,0.999,-4.763,5.004,179.385
46735.633287185,-0.0874,-0.0835,0.9995,-4.763,5.004,179.385
46735.833290393,-0.0879,-0.0825,0.999,-4.763,5.004,179.385
46736.03330023,-0.0874,-0.0825,1.0,-4.763,5.004,179.385
46736.233367363,-0.0884,-0.0825,1.0,-4.757,5.004,179.385
46736.433302848,-0.0879,-0.083,0.999,-4.757,5.01,179.385
46736.633308852,-0.0864,-0.083,0.9995,-4.757,5.004,179.385
46736.833361448,-0.0874,-0.083,0.9995,-4.757,5.004,179.385
46737.033339303,-0.0879,-0.083,0.9985,-4.757,5.004,179.385
46737.233374918,-0.0874,-0.083,0.9985,-4.757,5.004,179.385
46737.43338044,-0.0874,-0.083,0.9985,-4.757,5.004,179.385
46737.633386092,-0.0869,-0.083,0.999,-4.757,5.004,179.385
46737.833386781,-0.0874,-0.0825,0.9985,-4.757,5.004,179.385
46738.033394655,-0.0874,-0.083,0.9985,-4.757,5.004,179.385
46738.233413011,-0.0874,-0.0835,0.9995,-4.757,5.004,179.385
46738.433409681,-0.0879,-0.083,0.9995,-4.757,5.004,179.385
46738.633413037,-0.0874,-0.0825,0.9995,-4.757,5.004,179.385
46738.833406133,-0.0874,-0.083,0.999,-4.757,5.004,179.385
46739.033363636,-0.0869,-0.083,0.999,-4.757,5.004,179.385
46739.233372937,-0.0874,-0.0835,0.999,-4.757,5.004,179.385
46739.433426514,-0.0874,-0.082,1.0,-4.757,5.004,179.385
46739.633423259,-0.0874,-0.083,0.9995,-4.757,5.004,179.385
46739.8334143,-0.0874,-0.0835,0.9995,-4.757,5.004,179.385
46740.0333726,-0.0879,-0.0825,0.9985,-4.757,5.004,179.385
46740.233396826,-0.0879,-0.083,1.0,-4.757,5.004,179.385
46740.433423737,-0.0889,-0.082,0.9985,-4.757,5.004,179.385
46740.6334445,-0.0864,-0.0835,0.999,-4.757,5.004,179.385
46740.833389874,-0.0879,-0.083,0.999,-4.757,5.004,179.385
46741.033395322,-0.0879,-0.0825,0.9995,-4.757,5.004,179.385
46741.233448363,-0.0879,-0.0825,0.9995,-4.757,5.004,179.385
46741.433453441,-0.0879,-0.0825,0.9995,-4.757,5.004,179.385
46741.633404648,-0.0874,-0.083,0.999,-4.757,5.004,179.385
46741.833508227,-0.0869,-0.084,0.9995,-4.757,5.004,179.385
46742.033474952,-0.0874,-0.0835,0.999,-4.757,5.004,179.385
46742.233474253,-0.0874,-0.083,0.999,-4.763,5.004,179.385
46742.43349596,-0.0874,-0.083,0.9995,-4.763,5.004,179.385
46742.633432797,-0.0864,-0.083,0.9995,-4.763,5.004,179.385
