Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ
1598.779664386,0,0,0,0,0,0
1599.242832535,-0.0894,-0.0156,1.0029,-0.934,5.081,-128.727
1599.442816883,-0.0889,-0.0156,1.0029,-0.934,5.081,-128.727
1599.642858213,-0.0894,-0.0151,1.0024,-0.928,5.081,-128.727
1599.842883488,-0.0898,-0.0166,1.0034,-0.928,5.081,-128.727
1600.042845761,-0.0889,-0.0151,1.0029,-0.928,5.081,-128.727
1600.250069424,-0.0889,-0.0161,1.0034,-0.928,5.081,-128.727
1600.450068345,-0.0884,-0.0171,1.0024,-0.928,5.081,-128.727
1600.650062933,-0.0889,-0.0161,1.0024,-0.928,5.081,-128.727
1600.8501088,-0.0889,-0.0161,1.0029,-0.928,5.081,-128.727
1601.10869623,-0.0884,-0.0161,1.0029,-0.928,5.081,-128.727
1601.308663799,-0.0889,-0.0156,1.0029,-0.928,5.081,-128.727
1601.508729183,-0.0884,-0.0161,1.0015,-0.928,5.081,-128.727
1601.708719585,-0.0894,-0.0151,1.0039,-0.928,5.081,-128.727
1601.908717913,-0.0889,-0.0161,1.0029,-0.928,5.081,-128.727
1602.111569411,-0.0884,-0.0161,1.0029,-0.928,5.081,-128.727
1602.311612961,-0.0894,-0.0166,1.0039,-0.928,5.081,-128.727
1602.51165827,-0.0894,-0.0156,1.0034,-0.928,5.081,-128.727
1602.71163382,-0.0894,-0.0161,1.0029,-0.928,5.081,-128.727
1602.911642739,-0.0879,-0.0156,1.002,-0.928,5.081,-128.727
1603.114616108,-0.0894,-0.0161,1.0024,-0.928,5.076,-128.727
1603.314611397,-0.0894,-0.0171,1.002,-0.928,5.076,-128.727
1603.514618891,-0.0884,-0.0166,1.002,-0.928,5.081,-128.727
1603.714593884,-0.0889,-0.0161,1.0024,-0.928,5.076,-128.727
1603.914621488,-0.0889,-0.0156,1.002,-0.928,5.076,-128.727
1604.11462137,-0.0889,-0.0161,1.0034,-0.928,5.076,-128.727
1604.314579232,-0.0884,-0.0161,1.0024,-0.928,5.076,-128.727
1604.514642596,-0.0889,-0.0161,1.0034,-0.928,5.076,-128.727
1604.714630663,-0.0889,-0.0156,1.0029,-0.928,5.076,-128.727
1604.914635081,-0.0884,-0.0166,1.0024,-0.928,5.076,-128.727
1605.114664925,-0.0884,-0.0161,1.0034,-0.928,5.076,-128.727
1605.314650268,-0.0889,-0.0161,1.0029,-0.928,5.076,-128.727
1605.514662927,-0.0894,-0.0156,1.0029,-0.928,5.076,-128.727
1605.714663919,-0.0889,-0.0156,1.0024,-0.928,5.076,-128.727
1605.914620799,-0.0884,-0.0161,1.002,-0.928,5.076,-128.727
1606.116381804,-0.0889,-0.0166,1.002,-0.928,5.076,-128.727
1606.316381499,-0.0889,-0.0161,1.0024,-0.928,5.076,-128.727
1606.516418694,-0.0884,-0.0161,1.0024,-0.928,5.076,-128.727
1606.716411092,-0.0894,-0.0166,1.0024,-0.928,5.076,-128.727
1606.91641225,-0.0889,-0.0161,1.0034,-0.928,5.076,-128.727
1607.116416111,-0.0884,-0.0166,1.0029,-0.928,5.076,-128.727
1607.316432898,-0.0889,-0.0151,1.0029,-0.928,5.076,-128.727
1607.516426518,-0.0884,-0.0156,1.0029,-0.928,5.076,-128.727
1607.71641723,-0.0889,-0.0161,1.0034,-0.928,5.076,-128.727
1607.916453128,-0.0884,-0.0156,1.0034,-0.928,5.076,-128.727
1608.116411118,-0.0894,-0.0161,1.0034,-0.928,5.076,-128.727
1608.316451904,-0.0898,-0.0156,1.0034,-0.928,5.076,-128.727
1608.516439116,-0.0884,-0.0161,1.0029,-0.928,5.076,-128.727
1608.716483532,-0.0884,-0.0161,1.0024,-0.928,5.076,-128.727
1608.916490132,-0.0894,-0.0161,1.0034,-0.928,5.076,-128.727
1609.116510344,-0.0894,-0.0161,1.0024,-0.928,5.076,-128.727
1609.316499555,-0.0884,-0.0166,1.0029,-0.928,5.076,-128.727
1609.516492247,-0.0894,-0.0161,1.0015,-0.928,5.076,-128.727
1609.716521033,-0.0889,-0.0156,1.0024,-0.928,5.076,-128.727
1609.916487021,-0.0894,-0.0161,1.0024,-0.928,5.076,-128.727
1610.116492584,-0.0884,-0.0166,1.0024,-0.928,5.076,-128.727
1610.316489887,-0.0889,-0.0166,1.0029,-0.928,5.076,-128.727
1610.516487338,-0.0884,-0.0161,1.002,-0.928,5.076,-128.727
1610.716478993,-0.0884,-0.0161,1.0029,-0.934,5.07,-128.727
1610.916489647,-0.0884,-0.0166,1.0034,-0.934,5.07,-128.727
1611.116506913,-0.0884,-0.0161,1.0029,-0.934,5.07,-128.727
1611.316499326,-0.0889,-0.0161,1.0029,-0.934,5.07,-128.727
1611.516534332,-0.0889,-0.0161,1.0034,-0.934,5.07,-128.727
1611.71651119,-0.0884,-0.0161,1.0024,-0.934,5.07,-128.727
1611.916531937,-0.0884,-0.0156,1.0029,-0.934,5.07,-128.727
1612.116662684,-0.0889,-0.0156,1.0034,-0.928,5.07,-128.727
1612.316630078,-0.0889,-0.0166,1.0029,-0.928,5.07,-128.727
1612.516636472,-0.0889,-0.0161,1.0039,-0.928,5.07,-128.727
1612.716648292,-0.0889,-0.0166,1.0024,-0.928,5.07,-128.727
1612.916682742,-0.0898,-0.0166,1.0029,-0.928,5.07,-128.727
1613.116658265,-0.0898,-0.0156,1.0024,-0.928,5.07,-128.727
1613.316643103,-0.0889,-0.0161,1.0029,-0.928,5.076,-128.727
1613.516649367,-0.0889,-0.0151,1.0034,-0.928,5.076,-128.727
1613.71666052,-0.0884,-0.0161,1.0034,-0.928,5.076,-128.727
1613.916692061,-0.0884,-0.0166,1.0029,-0.928,5.076,-128.727
1614.116694973,-0.0889,-0.0166,1.0029,-0.928,5.076,-128.727
1614.316699791,-0.0894,-0.0156,1.0024,-0.928,5.076,-128.727
1614.516729203,-0.0884,-0.0156,1.0034,-0.923,5.07,-128.727
1614.716770689,-0.0889,-0.0156,1.0029,-0.928,5.07,-128.727
1614.916746544,-0.0889,-0.0156,1.0024,-0.928,5.07,-128.727
1615.116772862,-0.0884,-0.0161,1.0034,-0.928,5.07,-128.727
1615.316786236,-0.0889,-0.0156,1.0029,-0.928,5.07,-128.727
