Timestamp (s),Raw Value,Voltage (V)
1e-06,13552,1.7
0.004202,13552,1.7
0.008374,13568,1.7
0.012472,13552,1.7
0.016637,13568,1.7
0.02073,13568,1.69
0.024886,13568,1.7
0.028976,13552,1.7
0.033102,13568,1.7
0.03725,13568,1.7
0.041349,13568,1.69
0.045426,13520,1.69
0.049409,13536,1.69
0.053423,13552,1.7
0.057403,13568,1.7
0.061422,13552,1.7
0.065404,13568,1.69
0.069386,13552,1.69
0.073404,13552,1.69
0.077382,13536,1.69
0.081393,13568,1.69
0.085379,13552,1.69
0.089387,13552,1.69
0.093494,13536,1.7
0.097509,13568,1.7
0.10149,13568,1.7
0.105504,13568,1.7
0.109483,13552,1.7
0.1135,13552,1.7
0.117472,13552,1.7
0.121485,13552,1.7
0.125464,13552,1.69
0.129477,13552,1.69
0.133455,13552,1.69
0.137468,13552,1.69
0.141442,13552,1.69
0.145454,13552,1.7
0.149434,13552,1.7
0.153447,13568,1.7
0.157424,13568,1.7
0.161405,13552,1.7
0.165418,13568,1.7
0.169397,13552,1.69
0.17341,13552,1.69
0.177389,13552,1.7
0.181402,13552,1.69
0.185375,13552,1.7
0.189392,13568,1.7
0.193369,13552,1.7
0.197381,13568,1.69
0.201358,13552,1.69
0.205371,13552,1.7
0.20936,13552,1.7
0.213426,13552,1.7
0.218856,13584,1.7
0.222889,13568,1.7
0.226871,13568,1.7
0.230882,13568,1.7
0.234853,13552,1.7
0.238868,13568,1.7
0.242838,13568,1.7
0.246849,13552,1.7
0.250827,13568,1.7
0.254839,13552,1.7
0.258811,13552,1.69
0.2628,13552,1.69
0.266813,13552,1.69
0.270791,13552,1.7
0.274812,13568,1.7
0.27879,13568,1.7
0.282796,13568,1.7
0.286782,13568,1.7
0.290798,13584,1.7
0.294783,13552,1.7
0.298796,13568,1.7
0.302783,13568,1.69
0.306764,13552,1.69
0.310779,13552,1.69
0.314777,13552,1.7
0.3188,13568,1.7
0.322778,13568,1.7
0.326791,13584,1.7
0.33076,13584,1.7
0.334774,13568,1.7
0.338754,13568,1.7
0.342884,13568,1.7
0.34686,13568,1.7
0.350871,13552,1.69
0.354848,13552,1.7
