Time,Raw Value,Voltage
1103.495894006,0,0
1103.499787329,26432,3.304
1103.503150598,26448,3.306
1103.506476441,26432,3.306
1103.509835525,26448,3.306
1103.513004294,26432,3.306
1103.516140323,26448,3.306
1103.519402703,26432,3.304
1103.522525695,26448,3.304
1103.52564915,26448,3.304
1103.528768179,26448,3.302
1103.531887133,26448,3.304
1103.53503031,26448,3.306
1103.543288807,26432,3.308
1103.54933155,26448,3.306
1103.553218466,26448,3.302
1103.556649661,26448,3.304
1103.560093541,26432,3.3
1103.56322844,26400,3.304
1103.566462246,26448,3.304
1103.569591386,26416,3.302
1103.572701693,26400,3.304
1103.575815258,26416,3.302
1103.578908361,26416,3.308
1103.582028168,26416,3.302
1103.585156641,26432,3.302
1103.588292281,26432,3.304
1103.591380736,26416,3.304
1103.594493524,26416,3.302
1103.597589757,26400,3.304
1103.600769637,26432,3.304
1103.603964555,26448,3.304
1103.607059435,26432,3.304
1103.610146131,26432,3.306
1103.613247123,26448,3.306
1103.616328596,26448,3.306
1103.61941757,26432,3.304
1103.622513432,26448,3.304
1103.625598868,26448,3.306
1103.628690675,26432,3.306
1103.631777963,26448,3.306
1103.63487114,26432,3.306
1103.642329083,26448,3.306
1103.64827466,26432,3.304
1103.65217902,26448,3.304
1103.655271845,26416,3.304
1103.658367041,26448,3.302
1103.66145607,26432,3.304
1103.664546488,26416,3.302
1103.667638554,26400,3.302
1103.670729749,26416,3.304
1103.673823889,26448,3.302
1103.676905492,26416,3.302
1103.679996854,26432,3.304
1103.683206383,26432,3.304
1103.686303967,26448,3.304
1103.689401959,26432,3.304
1103.692492729,26432,3.304
1103.69558185,26416,3.302
1103.698689268,26432,3.304
1103.701878445,26448,3.306
1103.704972455,26448,3.306
1103.708075243,26448,3.304
1103.711169439,26432,3.304
1103.714257801,26448,3.304
1103.717345089,26448,3.304
1103.720555174,26448,3.306
1103.723643091,26432,3.304
1103.726727305,26432,3.306
1103.729826149,26448,3.306
1103.732930308,26448,3.306
1103.736025485,26448,3.306
1103.74220245,26416,3.304
1103.748205008,26432,3.304
1103.752167313,26432,3.304
1103.755267323,26416,3.302
1103.758363759,26448,3.304
1103.761467362,26432,3.306
1103.764675039,26448,3.3
1103.76774555,26416,3.302
1103.770842875,26432,3.302
1103.7739172,26432,3.302
1103.777012803,26416,3.302
1103.780114314,26432,3.306
1103.783214046,26432,3.306
1103.786301427,26432,3.302
1103.789422475,26400,3.302
1103.792521504,26400,3.306
1103.795611236,26416,3.3
1103.798811839,26432,3.304
1103.801933461,26448,3.306
1103.805020101,26432,3.304
1103.808102685,26448,3.306
1103.81118827,26448,3.306
1103.814267595,26448,3.306
1103.81735792,26432,3.306
1103.820456542,26448,3.304
1103.82354283,26448,3.304
1103.826646285,26448,3.306
1103.829736759,26448,3.304
1103.83283501,26432,3.308
1103.836033038,26448,3.306
1103.842202208,26448,3.306
1103.848293932,26448,3.306
1103.852195737,26432,3.306
1103.855294525,26416,3.304
1103.858384832,26432,3.306
1103.861476954,26416,3.304
1103.864570242,26432,3.304
1103.867675215,26400,3.3
1103.870762652,26384,3.302
1103.873861384,26432,3.302
1103.876947469,26416,3.304
1103.880157498,26416,3.306
1103.883244267,26432,3.304
1103.886321019,26416,3.304
1103.889413603,26416,3.304
1103.892501706,26416,3.306
1103.895582624,26448,3.302
1103.898679023,26432,3.306
1103.9018362,26448,3.306
1103.904969377,26432,3.304
1103.908096573,26432,3.306
1103.911220583,26432,3.306
1103.914628297,26432,3.306
1103.91773977,26448,3.304
1103.92086178,26432,3.304
1103.923997735,26432,3.304
