Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ
983.301766261,0,0,0,0,0,0
983.425992422,0.0059,-0.2476,0.9805,-14.117,-0.33,166.487
983.526868415,0.0063,-0.2466,0.9805,-14.117,-0.33,166.487
983.628883336,0.0059,-0.2471,0.9814,-14.117,-0.33,166.487
983.735705557,0.0054,-0.2451,0.9805,-14.117,-0.33,166.487
983.84174198,0.0063,-0.2476,0.9795,-14.112,-0.324,166.487
983.94193227,0.0034,-0.2456,0.981,-14.112,-0.319,166.487
984.04547758,0.0054,-0.2461,0.9795,-14.123,-0.313,166.481
984.148377575,0.0015,-0.2437,0.981,-14.09,-0.302,166.481
984.24859955,0.0005,-0.2422,0.981,-14.052,-0.258,166.47
984.351669342,0.0034,-0.251,0.9829,-14.024,-0.253,166.465
984.454770318,0.002,-0.2388,0.9824,-13.991,-0.247,166.465
984.554939811,0.0039,-0.2417,0.981,-13.991,-0.253,166.465
984.65793314,0.0039,-0.2417,0.9814,-13.986,-0.258,166.47
984.758143966,0.0044,-0.2437,0.9805,-13.98,-0.258,166.47
984.861198332,0.0039,-0.2437,0.9814,-13.98,-0.258,166.47
984.961206917,0.0044,-0.2441,0.981,-13.98,-0.258,166.47
985.064278746,0.0039,-0.2441,0.9814,-13.98,-0.258,166.47
985.164434535,0.0039,-0.2437,0.981,-13.975,-0.264,166.47
985.264637806,0.0044,-0.2432,0.981,-13.975,-0.264,166.47
985.367632264,0.0044,-0.2441,0.9805,-13.975,-0.258,166.47
985.469591129,0.0049,-0.2432,0.9814,-13.969,-0.264,166.47
985.570166252,0.0044,-0.2427,0.9814,-13.969,-0.264,166.47
985.671304931,0.0029,-0.2432,0.9805,-13.969,-0.264,166.47
985.771346683,0.0049,-0.2451,0.9819,-13.969,-0.264,166.47
985.874353456,0.0039,-0.2432,0.98,-13.969,-0.264,166.47
985.977663507,0.0054,-0.2441,0.9805,-13.969,-0.264,166.47
986.077745944,0.0029,-0.2427,0.9805,-13.969,-0.264,166.47
986.180894792,0.0039,-0.2407,0.9795,-13.969,-0.258,166.503
986.281021877,0.0049,-0.2441,0.981,-13.969,-0.264,166.52
986.381082518,0.0034,-0.2441,0.9814,-13.969,-0.258,166.525
986.48208753,0.0034,-0.2422,0.9819,-13.964,-0.253,166.52
986.58419208,0.0054,-0.2427,0.9805,-13.958,-0.247,166.487
986.684384647,0.0039,-0.2417,0.9805,-13.969,-0.231,166.448
986.787506087,0.0039,-0.2437,0.9814,-13.98,-0.225,166.437
986.887534617,0.0054,-0.2451,0.981,-13.986,-0.225,166.426
986.987840091,0.0029,-0.2437,0.9814,-13.98,-0.214,166.388
987.088343881,0.0034,-0.2451,0.9805,-13.997,-0.198,166.371
987.188655115,0.0034,-0.2446,0.981,-14.002,-0.198,166.366
987.288964256,0.0034,-0.2422,0.9805,-14.002,-0.192,166.366
987.391601177,0.0039,-0.2446,0.9814,-14.002,-0.198,166.366
987.49475382,0.001,-0.2456,0.981,-14.002,-0.192,166.366
987.59524698,0.0059,-0.2417,0.9819,-13.997,-0.203,166.382
987.699166606,0.0044,-0.2437,0.981,-14.002,-0.209,166.371
987.800163081,0.0063,-0.2466,0.981,-14.008,-0.209,166.366
987.901869501,0.0029,-0.2441,0.9814,-14.002,-0.198,166.349
988.003936773,0.0044,-0.2441,0.9805,-14.008,-0.192,166.344
988.104255174,0.0034,-0.2446,0.981,-14.008,-0.187,166.339
988.206612261,0.0029,-0.2451,0.98,-14.013,-0.181,166.339
988.307053532,0.0034,-0.2451,0.9795,-14.019,-0.181,166.339
988.407672062,0.0039,-0.2446,0.981,-14.03,-0.176,166.339
988.507738166,0.0044,-0.2456,0.981,-14.035,-0.17,166.339
988.610316532,0.0039,-0.2456,0.981,-14.041,-0.176,166.333
988.710731895,0.0034,-0.2466,0.9805,-14.046,-0.17,166.333
988.811568796,0.0034,-0.2471,0.9795,-14.057,-0.17,166.333
988.914302272,0.0029,-0.2461,0.981,-14.062,-0.176,166.333
989.01662786,0.0034,-0.2461,0.9819,-14.062,-0.176,166.333
989.116906816,0.0054,-0.2446,0.981,-14.073,-0.181,166.333
989.218894792,0.0039,-0.2485,0.98,-14.084,-0.192,166.339
989.319797119,0.0039,-0.2466,0.9805,-14.079,-0.198,166.339
989.419805815,0.0039,-0.248,0.9795,-14.073,-0.203,166.339
989.52297944,0.0034,-0.2466,0.9805,-14.068,-0.209,166.339
989.625980639,0.0044,-0.2471,0.9805,-14.068,-0.209,166.339
989.727261559,0.0039,-0.2471,0.98,-14.068,-0.209,166.339
989.835098984,0.0039,-0.2476,0.9805,-14.062,-0.214,166.339
989.94107463,0.0049,-0.248,0.98,-14.068,-0.214,166.344
990.045018682,0.0039,-0.2471,0.98,-14.068,-0.214,166.344
990.145039026,0.0044,-0.2476,0.9805,-14.062,-0.22,166.344
990.246860836,0.0034,-0.2466,0.98,-14.062,-0.22,166.344
990.349235275,0.0039,-0.2471,0.98,-14.068,-0.22,166.344
990.452460752,0.0039,-0.2476,0.98,-14.073,-0.22,166.344
990.55480521,0.0049,-0.2471,0.9795,-14.079,-0.225,166.344
990.65636113,0.0039,-0.2476,0.979,-14.084,-0.225,166.344
990.75776279,0.0044,-0.2485,0.98,-14.09,-0.225,166.344
990.858724728,0.0049,-0.25,0.9785,-14.095,-0.225,166.344
990.961056241,0.0054,-0.2476,0.9805,-14.095,-0.231,166.344
991.061588438,0.0049,-0.2476,0.9795,-14.095,-0.231,166.344
991.162531413,0.0054,-0.248,0.98,-14.09,-0.231,166.344
991.264061019,0.0054,-0.2471,0.981,-14.057,-0.236,166.344
991.367153069,0.0039,-0.2446,0.9805,-13.98,-0.231,166.339
991.470310083,0.0044,-0.2441,0.98,-13.958,-0.22,166.339
991.570452891,0.0034,-0.2446,0.981,-13.953,-0.209,166.333
991.671210125,0.0034,-0.2446,0.9814,-13.953,-0.203,166.333
991.77144747,0.0044,-0.2412,0.9761,-13.942,-0.198,166.333
991.873250205,0.0029,-0.2432,0.9814,-13.914,-0.198,166.333
991.974299291,0.0039,-0.2417,0.9805,-13.892,-0.198,166.333
992.075189026,0.0034,-0.2441,0.9814,-13.898,-0.192,166.328
992.177686428,0.002,-0.2432,0.9814,-13.903,-0.192,166.328
992.280416701,0.0044,-0.2422,0.9819,-13.892,-0.187,166.328
992.381501676,0.0034,-0.2417,0.981,-13.914,-0.165,166.322
