Time,Raw Value
281.018793207,0
281.020535695,3440
281.022079552,3440
281.023747521,3424
281.025412342,3440
281.02706457,3456
281.028724317,3424
281.03038023,3424
281.031871069,3456
281.033563297,3424
281.035214877,3440
281.036830753,3424
281.038382555,3424
281.039934375,3424
281.041602215,3440
281.043153924,3456
281.044718152,3440
281.046292083,3440
281.047862552,3440
281.049458946,3440
281.051031619,3440
281.052601217,3424
281.05417,3424
281.055745302,3440
281.057317697,3424
281.058899314,3440
281.060468097,3440
281.062030491,3440
281.063600423,3440
281.065165114,3440
281.066721601,3440
281.068298699,3424
281.069861575,3472
281.071434673,3424
281.072988049,3440
281.074559981,3424
281.076146672,3456
281.077674381,3440
281.079221312,3440
281.080781892,3424
281.082340379,3424
281.083903996,3424
281.08547239,3424
281.091836691,3440
281.097717619,3440
281.101769134,3424
281.103602233,3424
281.105444814,3424
281.107012801,3424
281.108585917,3424
281.11014709,3424
281.111707336,3456
281.113266508,3456
281.114833884,3440
281.11639089,3424
281.117955932,3408
281.119518605,3440
281.121095147,3456
281.122660134,3424
281.124223733,3440
281.12573459,3424
281.127284392,3424
281.128843397,3424
281.130402403,3440
281.131966705,3440
281.13351871,3440
281.13507842,3424
281.136645796,3424
281.138207912,3440
281.139765696,3424
281.141318775,3440
281.142871596,3408
281.14442999,3424
281.145985218,3440
281.147549779,3440
281.149100766,3424
281.150659864,3424
281.152207925,3456
281.153766801,3424
281.155324955,3424
281.156872238,3440
281.1584198,3456
281.159972916,3424
281.161473996,3440
281.163030001,3424
281.164577266,3440
281.166141883,3424
281.167703444,3440
281.169262912,3456
281.170822233,3440
281.172373887,3456
281.173920522,3424
281.175467638,3424
281.177022737,3440
281.178581205,3440
281.180126896,3456
281.181678142,3424
281.183235018,3440
281.190812397,3424
281.196860752,3440
281.200779822,3424
281.202325253,3440
281.203874055,3472
281.20542056,3424
281.206966677,3440
281.208626239,3440
281.210175022,3456
281.211724083,3440
281.21328657,3440
281.214833465,3440
