Time,Pulse Counts
2423.366111939,1
2423.709173202,2
2423.778779346,3
2423.986257433,4
2424.051875862,5
2424.169078531,6
2424.245631189,7
2424.319863905,8
2424.477081475,9
2424.561569754,10
2424.700050752,11
2424.881016261,12
2424.988011297,13
2425.110167095,14
2425.157121435,15
2425.228189398,16
2425.336709803,17
2425.403911103,18
2425.587094282,19
2425.744048488,20
2425.833301098,21
2425.919949085,22
2426.018642615,23
2426.121277234,24
2426.219775635,25
2426.333931687,26
2426.451419957,27
2426.56145255,28
2426.653600458,29
2426.765772382,30
2426.9088985,31
2426.985301611,32
2427.088313085,33
2427.189486543,34
2427.262324695,35
2427.327593132,36
2427.424267464,37
2427.517555263,38
2427.638717831,39
2427.694950721,40
2427.913221642,41
2428.009037405,42
2428.133920993,43
2428.214993491,44
2428.305863851,45
2428.408140312,46
2428.507692553,47
2428.593344159,48
2428.683157964,49
2428.796005248,50
2428.907122888,51
2428.9807921,52
2429.093333,53
2429.500423786,54
2429.654765723,55
2429.811587417,56
2429.911686182,57
2430.073883248,58
2430.168150631,59
2430.33515547,60
2430.421633971,61
2430.603201168,62
2430.698484365,63
2430.743061067,64
2430.811198843,65
2430.905693117,66
2430.985830496,67
2431.071877222,68
2431.151426454,69
2431.215120291,70
2431.288643083,71
2431.375735568,72
2431.483867999,73
2431.556922384,74
2431.659807412,75
2431.773652189,76
2431.843828132,77
2431.913009857,78
2431.971585052,79
2432.04149848,80
2432.141172217,81
2432.216303104,82
2432.294065284,83
2432.423281314,84
2432.517197815,85
2432.585460873,86
2432.651444267,87
2432.766539252,88
2432.848955577,89
2432.919113952,90
2432.987479512,91
2433.059746533,92
2433.131050351,93
2433.219523453,94
2433.319799213,95
2433.732955853,96
2433.822153751,97
2433.910960614,98
2434.021986703,99
2434.063316119,100
2434.128464296,101
2434.272842806,102
2434.361567004,103
2434.436590822,104
2434.652538357,105
2434.71352087,106
2434.862155859,107
2434.960479998,108
2435.039784002,109
2435.158089572,110
2435.651063136,111
2435.713606928,112
2435.843413361,113
2435.97756126,114
2436.080541918,115
2436.172912009,116
2436.243750261,117
2436.317015364,118
2436.371303349,119
2436.431236664,120
2436.507631061,121
2436.5824137,122
2436.678855269,123
2436.749367392,124
2436.820916422,125
2436.905678687,126
2436.980729236,127
2437.04078196,128
2437.107644514,129
2437.221644669,130
2437.352916797,131
2437.495557362,132
2437.599600338,133
2437.668150669,134
2437.747083901,135
2437.870426534,136
