Time,RawValue
4266.289748272,0
4266.292088633,0
4266.293755435,0
4266.295422349,0
4266.29708917,0
4266.298756065,16
4266.300422831,0
4266.302089596,0
4266.303756399,16
4266.30542322,0
4266.307090041,0
4266.308756806,0
4266.310423628,16
4266.312090375,0
4266.313757103,0
4266.315423813,0
4266.317090486,0
4266.318757159,16
4266.320423869,0
4266.322090579,16
4266.323757363,0
4266.32542411,0
4266.327090838,0
4266.328757585,0
4266.330424406,0
4266.332091079,16
4266.3337579,0
4266.335424666,16
4266.33709145,0
4266.338758178,0
4266.340424944,0
4266.342091783,0
4266.343758475,0
4266.345425185,0
4266.347091876,0
4266.348758642,0
4266.350425463,16
4266.352092265,32
4266.353758994,0
4266.355425704,0
4266.357092414,16
4266.358759124,0
4266.360425815,0
4266.362092488,0
4266.363759253,0
4266.365426037,0
4266.36709271,16
4266.368759439,16
4266.370426186,0
4266.37209297,0
4266.373759643,16
4266.375426316,0
4266.377093118,0
4266.378759921,16
4266.380426594,0
4266.382093415,16
4266.383760125,0
4266.385426927,0
4266.387093674,0
4266.388760495,0
4266.390427187,0
4266.39209386,0
4266.393760551,0
4266.396278079,0
4266.397944752,16
4266.399611536,0
4266.401278209,16
4266.402944919,0
4266.404611684,16
4266.406278357,16
4266.407945104,0
4266.409611851,16
4266.411278672,0
4266.412945493,16
4266.414612314,0
4266.416279006,16
4266.417945771,32
4266.419612481,0
4266.421279247,0
4266.422946068,16
4266.424612833,0
4266.426279599,32
4266.42794629,0
4266.429613,0
4266.431279747,16
4266.432946531,0
4266.434613278,16
4266.436280007,16
4266.437946828,16
4266.439613575,16
4266.441280303,0
4266.442947069,0
4266.444613797,0
4266.446280526,0
4266.447947199,0
4266.449613927,0
4266.451280637,0
4266.452947403,0
4266.454614168,0
4266.456280878,0
4266.457947569,0
4266.459614298,16
4266.461281008,0
4266.462947792,0
4266.464614483,0
4266.466281175,0
4266.467947848,0
4266.469614613,0
4266.471281397,16
4266.472948089,16
4266.474614799,0
4266.476281527,0
4266.47794833,0
4266.479615077,16
4266.481281786,0
4266.482948533,0
4266.48461528,0
4266.486281953,0
4266.487948626,0
4266.489615355,0
4266.491282065,0
4266.492948756,0
4266.49461554,16
4266.496282269,16
4266.497949016,0
4266.499615707,16
4266.50128238,0
4266.50294909,0
4266.504615818,0
4266.506282639,0
4266.507949386,0
4266.509616189,16
4266.511282862,16
4266.512949664,16
4266.514616356,0
4266.516283121,0
4266.517949942,0
4266.519616634,0
4266.521283436,0
4266.522950165,16
4266.52461693,16
4266.526283751,0
4266.527950424,0
4266.529617171,16
4266.5312839,0
4266.532950591,0
4266.534617301,0
4266.536284011,0
4266.537950758,0
4266.53961745,0
4266.541284197,16
4266.542951018,0
4266.54461782,0
4266.546284604,0
4266.547951351,0
4266.549618024,0
4266.551284827,16
4266.552951648,0
4266.55461845,0
4266.556285142,0
4266.557951852,0
4266.55961858,0
4266.561285383,0
4266.562952148,16
4266.564618951,0
4266.566285716,0
4266.567952408,0
4266.569619081,16
4266.571285865,0
4266.572952667,16
4266.574619451,16
4266.576286198,0
4266.577952927,0
4266.579619637,0
4266.581286402,0
4266.582953186,0
4266.584619896,16
4266.586286606,0
4266.587953353,16
4266.589620156,16
4266.59128694,0
4266.592953631,0
4266.594620415,16
4266.596287143,0
4266.597953872,16
4266.599620545,0
4266.601287366,16
4266.60295415,16
4266.604620952,0
4266.606287699,0
4266.607954409,16
4266.609621193,16
4266.611287885,32
4266.61295465,0
4266.614621434,16
4266.616288218,0
4266.61795504,0
4266.619621824,16
4266.621288589,0
4266.62295528,0
4266.624622083,0
4266.626288756,0
4266.627955484,0
4266.629622213,16
4266.631288997,32
4266.632955744,16
4266.634622528,0
4266.636289275,16
4266.637956077,0
4266.63962275,0
4266.641289423,0
4266.64295617,16
4266.64462288,16
4266.64628959,16
4266.647956337,0
4266.64962301,16
4266.651289739,0
4266.652956541,16
4266.65462327,0
4266.656290072,16
4266.657956764,0
4266.659623455,0
4266.661290239,16
4266.662957023,16
4266.664623696,16
4266.666290443,0
4266.667957264,0
4266.669624067,16
4266.671290739,16
4266.672957468,0
4266.67462427,16
4266.676291054,32
4266.677957857,16
4266.67962453,16
4266.681291295,0
4266.682958005,0
4266.684624715,16
4266.686291536,16
4266.687958357,0
4266.68962516,0
4266.691291851,16
4266.692958524,0
4266.694625197,0
4266.696291907,16
4266.69795871,0
4266.699625512,0
4266.701292185,0
4266.702958932,16
4266.704625679,16
4266.706292482,0
4266.707959247,16
4266.70962605,0
4266.711292815,16
4266.712959636,16
4266.714626439,0
4266.716293241,0
4266.717959951,16
4266.719626772,16
4266.721293538,0
4266.722960285,16
4266.724627013,0
4266.726293834,16
4266.7279606,0
4266.729627421,0
4266.731294168,0
4266.732960915,0
4266.734627662,0
4266.736294428,0
4266.73796123,16
4266.739627977,16
4266.741294724,0
4266.742961545,0
4266.744628218,0
4266.746294928,0
4266.747961675,0
4266.749628422,0
4266.751295169,0
4266.752961916,16
4266.754628681,0
4266.756295391,0
4266.757962194,0
4266.759628996,0
4266.761295688,0
4266.762962361,16
4266.764629071,0
4266.766295818,16
4266.767962528,16
4266.769629312,16
4266.771296059,16
4266.772962806,0
4266.77462959,0
4266.776296355,16
4266.777963047,0
4266.779629831,0
4266.781296522,0
4266.782963325,0
4266.784630053,0
4266.786296856,0
4266.787963677,16
4266.789630368,0
4266.791297041,0
4266.792963844,0
4266.794630628,0
4266.796297301,0
4266.797963992,0
4266.799630739,16
4266.801297467,0
4266.802964251,16
4266.80463098,0
4266.80629769,0
4266.807964418,0
4266.809631202,0
4266.811297931,0
4266.812964733,0
4266.814631517,0
4266.81629832,0
4266.817965104,0
4266.819631832,16
4266.821298561,16
4266.822965308,16
4266.824632129,0
4266.826298913,0
4266.827965623,16
4266.829632333,0
4266.83129908,16
4266.832965808,0
4266.8346325,0
4266.836299302,0
4266.837966012,32
4266.839632833,0
4266.841299599,0
4266.84296642,0
4266.844633167,0
4266.84629984,0
4266.847966605,16
4266.849633352,0
4266.851300025,16
4266.852966846,0
4266.854633575,0
4266.856300396,0
4266.857967143,16
4266.85963389,0
4266.861300563,0
4266.862967291,0
4266.86463402,32
4266.866300767,0
4266.867967551,0
4266.869634242,0
4266.871301045,16
4266.872967847,0
4266.874634539,0
4266.876301267,0
4266.877968088,16
4266.879634909,0
4266.881301582,0
4266.882968255,0
4266.884634984,0
4266.886301749,0
4266.887968459,0
4266.88963528,0
4266.891302083,0
4266.892968793,16
4266.894635614,16
4266.896302398,0
4266.897969182,16
4266.899635947,0
4266.901302639,0
4266.90296933,16
4266.904636114,0
4266.906302806,0
4266.90796959,0
4266.909636392,16
4266.911303158,0
4266.912969849,16
4266.914636633,0
4266.916303324,0
4266.917970034,0
4266.919636763,0
4266.921303547,0
4266.92297022,16
4266.924636893,0
4266.926303658,0
4266.92797035,16
4266.929637023,0
4266.931303844,0
4266.932970683,0
4266.934637393,0
4266.936304214,0
4266.937970961,0
4266.939637727,0
4266.941304455,0
4266.942971128,0
4266.944637968,0
4266.946304789,16
4266.947971554,16
4266.949638357,16
4266.951305122,0
4266.952971906,0
4266.954638709,16
4266.9563054,16
4266.957972166,0
4266.959638894,0
4266.961305586,0
4266.962972259,16
4266.964638932,0
4266.966305679,0
4266.967972426,16
4266.969639117,0
4266.971305827,0
4266.972972629,16
4266.974639321,0
4266.976306049,0
4266.97797287,0
4266.979639654,16
4266.981306438,0
4266.982973185,16
4266.984639858,0
4266.986306679,0
4266.987973408,16
4266.989640081,0
4266.991306754,0
4266.992973427,16
4266.994640155,0
4266.996306865,0
4266.997973668,16
4266.999640452,0
4267.001307254,0
4267.002973927,0
4267.00464073,16
4267.00630744,16
4267.007974187,16
4267.009640897,16
4267.011307699,32
4267.012974465,16
4267.014641249,0
4267.01630794,0
4267.01797465,0
4267.019641434,16
4267.021308107,0
4267.022974798,16
4267.024641471,16
4267.026308181,0
4267.027974873,0
4267.02964162,0
4267.031308441,0
4267.032975225,0
4267.034642009,0
4267.036350552,16
4267.038017225,0
4267.039683954,0
4267.041350645,0
4267.043017448,16
4267.044684158,16
4267.046350905,0
4267.048017614,0
4267.049684324,0
4267.051351034,0
4267.053017837,16
4267.054684602,16
4267.056351275,0
4267.058018022,16
4267.059684695,0
4267.061351405,16
4267.063018134,0
4267.064684844,0
4267.066351665,0
4267.068018356,0
4267.069685048,16
4267.071351776,0
4267.073018542,16
4267.07468527,0
4267.07635198,16
4267.078018671,16
4267.079685474,0
4267.081352239,0
4267.083019005,0
4267.084685789,16
4267.086352591,16
4267.088019301,16
4267.08968603,16
4267.091352758,0
4267.093019561,0
4267.094686271,0
4267.096352962,0
4267.098019654,0
4267.099686364,0
4267.101353037,16
4267.103019728,0
4267.104686512,0
4267.106353259,16
4267.108019988,0
4267.109686772,16
4267.1113535,0
4267.113020173,16
4267.114686957,0
4267.116353685,16
4267.118020358,0
4267.119687161,32
4267.121353871,0
4267.123020673,0
4267.124687402,0
4267.126354149,16
4267.128020896,0
4267.129687661,0
4267.131354371,0
4267.133021155,0
4267.134687921,0
4267.136354612,0
4267.138021359,16
4267.139688032,0
4267.141354724,16
4267.143021396,0
4267.144688162,0
4267.14635489,0
4267.148021619,16
4267.14968831,0
4267.151355076,0
4267.153021841,0
4267.154688533,16
4267.156355354,16
4267.158022175,0
4267.159688977,16
4267.16135578,0
4267.163022508,0
4267.164689293,0
4267.16635604,0
4267.168022749,0
4267.169689496,0
4267.171356243,0
4267.173023027,16
4267.174689793,0
4267.176356558,16
4267.178023305,0
4267.179690089,0
4267.181356911,0
4267.183023602,0
4267.184690367,16
4267.186357133,0
4267.188023843,16
4267.189690534,16
4267.191357355,16
4267.193024121,0
4267.194690794,0
4267.196357596,0
4267.198024288,16
4267.199690998,0
4267.2013578,0
4267.203024584,16
4267.204691276,0
4267.206358097,16
4267.208024862,0
4267.209691572,0
4267.211358338,0
4267.213025085,0
4267.21469185,0
4267.21635856,0
4267.218025326,0
4267.219692017,0
