Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ
16892.470047317,,,,-8.438,-3.384,165.839
16892.570047342,0.0601,-0.1494,0.9985,-8.438,-3.384,165.839
16892.670047349,0.0601,-0.1479,0.999,-8.438,-3.384,165.839
16892.770047448,0.0586,-0.1479,0.9995,-8.438,-3.384,165.839
16892.870047455,0.0586,-0.1479,1.0005,-8.438,-3.384,165.839
16892.970047461,0.0596,-0.1479,1.001,-8.438,-3.384,165.839
16893.070047542,0.0591,-0.1475,1.0005,-8.438,-3.384,165.839
16893.170047604,0.0586,-0.1475,1.0005,-8.438,-3.384,165.839
16893.270047666,0.0581,-0.1475,1.0029,-8.438,-3.384,165.839
16893.370047747,0.0586,-0.1484,1.0,-8.438,-3.384,165.839
16893.470047809,0.0576,-0.1465,1.0029,-8.438,-3.384,165.839
16893.570047816,0.0591,-0.1489,0.999,-8.438,-3.384,165.839
16893.670047823,0.0581,-0.1509,1.0,-8.438,-3.384,165.839
16893.770047885,0.0601,-0.1494,0.998,-8.438,-3.384,165.839
16893.870047984,0.0571,-0.1504,1.001,-8.443,-3.384,165.839
16893.970048084,0.0601,-0.1465,0.999,-8.432,-3.384,165.839
16894.070048183,0.0591,-0.1499,0.9995,-8.432,-3.384,165.839
16894.170048264,0.0586,-0.1475,1.0,-8.432,-3.389,165.839
16894.2700554,0.0601,-0.1479,0.9995,-8.432,-3.389,165.839
16894.3700555,0.0605,-0.1484,0.9985,-8.432,-3.389,165.839
16894.470055525,0.0591,-0.1484,0.9995,-8.432,-3.389,165.839
16894.570055569,0.0601,-0.1484,0.999,-8.438,-3.389,165.839
16894.67005565,0.0601,-0.1484,1.0,-8.438,-3.389,165.839
16894.770055693,0.0596,-0.1445,0.9985,-8.421,-3.395,165.839
16894.8700557,0.0601,-0.1484,0.998,-8.421,-3.395,165.839
16894.970058763,0.0605,-0.1484,0.9995,-8.427,-3.395,165.839
16895.070063547,0.0591,-0.1475,1.0015,-8.432,-3.395,165.839
16895.170066943,0.0605,-0.1504,1.0005,-8.432,-3.395,165.839
16895.270070265,0.0605,-0.1494,0.9985,-8.432,-3.395,165.839
16895.37007592,0.0615,-0.1484,0.9966,-8.432,-3.395,165.839
16895.470082038,0.061,-0.1475,0.9956,-8.438,-3.395,165.839
16895.570087415,0.0605,-0.1475,0.9985,-8.438,-3.395,165.839
16895.670087422,0.0601,-0.1484,0.999,-8.438,-3.395,165.839
16895.770087466,0.0605,-0.147,0.999,-8.438,-3.395,165.839
16895.870087547,0.0596,-0.146,0.9976,-8.438,-3.395,165.839
16895.970087572,0.0605,-0.1484,0.9985,-8.443,-3.395,165.839
