Time,PulseCounts
1554.809346179,1
1554.861159037,2
1555.077843502,3
1555.304894568,4
1555.335404593,5
1555.372201251,6
1555.456918442,7
1555.511206639,8
1555.610116462,9
1555.761705767,10
1555.858261388,11
1555.921842783,12
1556.051091808,13
1556.105127077,14
1556.140418055,15
1556.174866271,16
1556.208905274,17
1556.277639754,18
1556.39663862,19
1556.543572088,20
1556.625421925,21
1556.672943152,22
1556.725940152,23
1556.887182557,24
1556.971746259,25
1557.03792893,26
1557.126512958,27
1557.229861568,28
1557.332363734,29
1557.419382255,30
1557.469986766,31
1557.555832812,32
1557.658541619,33
1557.729566474,34
1557.810879845,35
1557.869076572,36
1557.984687315,37
1558.03355808,38
1558.10160133,39
1558.16197226,40
1558.233973616,41
1558.307481754,42
1558.5215146,43
1558.648031168,44
1558.803890163,45
1558.882416621,46
1558.944384303,47
1559.007845674,48
1559.082367305,49
1559.172756497,50
1559.373812995,51
1559.463002647,52
1559.517664121,53
1559.572491952,54
1559.631682452,55
1559.682846905,56
1559.737579945,57
1559.77969029,58
1559.815351285,59
1560.056068633,60
1560.089733368,61
1560.137990258,62
1560.230833473,63
1560.54787913,64
1560.588774938,65
1560.634782404,66
1560.700297793,67
1560.763854246,68
1560.81194889,69
1560.857395496,70
1560.906936444,71
1560.956807627,72
1561.021232356,73
1561.375419547,74
1561.488116211,75
1561.543265952,76
1561.608441944,77
1561.671497537,78
1561.713862683,79
1561.742539972,80
