Time,RawValue1,RawValue2
2748.114745614,11744,8592
2748.117142807,11744,8608
2748.118732405,11744,8624
2748.120290373,11744,8608
2748.121850971,11744,8592
2748.123383809,11744,8592
2748.124917407,11728,8592
2748.126439616,11744,8592
2748.127963899,11744,8592
2748.129480941,11728,8592
2748.131001928,11744,8592
2748.132540581,11728,8560
2748.134056216,11696,8576
2748.135570461,11712,8560
2748.137128282,11696,8592
2748.138671546,11744,8592
2748.140199366,11712,8576
2748.141725167,11696,8592
2748.143243191,11696,8592
2748.144773992,11728,8560
2748.146300423,11728,8592
2748.147821503,11728,8544
2748.14934186,11696,8544
2748.150861828,11712,8544
2748.152387648,11680,8560
2748.153908153,11744,8576
2748.155431843,11728,8576
2748.156954293,11712,8576
2748.158473872,11728,8576
2748.159994655,11696,8576
2748.16152616,11744,8592
2748.163052109,11696,8576
2748.164574429,11728,8608
2748.166103286,11696,8576
2748.167623514,11696,8592
2748.169143463,11712,8560
2748.170662283,11728,8592
2748.172183381,11728,8592
2748.173710979,11744,8592
2748.175235558,11728,8576
2748.176761507,11696,8560
2748.178285142,11712,8576
2748.179809036,11760,8592
2748.181330912,11744,8592
2748.18287775,11728,8592
2748.184409552,11744,8592
2748.185936649,11744,8592
2748.187458229,11744,8592
2748.188980067,11744,8592
2748.190500868,11744,8608
2748.192023596,11728,8592
2748.19354549,11728,8592
2748.195075754,11728,8592
2748.196604463,11760,8592
2748.198136709,11760,8592
2748.199660547,11744,8592
2748.201181793,11728,8592
2748.202704687,11744,8592
2748.204227378,11728,8592
2748.205756697,11744,8608
2748.207283054,11728,8592
2748.208805745,11744,8592
2748.210328583,11744,8624
2748.211851385,11728,8592
2748.213385575,11744,8592
2748.214919562,11728,8592
2748.216448807,11744,8592
2748.217971683,11744,8592
2748.219498725,11744,8592
2748.221023341,11744,8592
2748.222545106,11744,8608
2748.224069852,11744,8608
2748.225591338,11728,8608
2748.227116529,11744,8592
2748.228639978,11744,8592
2748.230166131,11728,8592
2748.231688933,11744,8592
2748.233316753,11728,8576
2748.234860592,11712,8560
2748.236386226,11728,8544
2748.237962676,11712,8560
2748.239500607,11712,8576
2748.241025557,11728,8576
2748.24254884,11744,8560
2748.244085456,11728,8576
2748.245608165,11696,8576
2748.2471263,11696,8560
2748.248655008,11712,8592
2748.250176088,11696,8608
2748.251697685,11696,8560
2748.253238357,11696,8592
2748.254762936,11712,8576
2748.256283219,11744,8576
2748.257807909,11712,8608
2748.2593406,11712,8560
2748.260869235,11744,8576
2748.262398129,11744,8592
2748.263927375,11728,8592
2748.265453194,11744,8560
2748.266980126,11712,8576
2748.268508334,11712,8592
2748.270034747,11712,8592
2748.271559715,11712,8576
2748.273096313,11712,8608
2748.274621614,11696,8560
2748.276149193,11712,8560
2748.277675106,11712,8576
2748.279203444,11728,8624
2748.280731524,11728,8592
2748.282268695,11744,8592
2748.283799071,11728,8592
2748.285329058,11728,8592
2748.286856526,11744,8592
2748.288383346,11728,8592
2748.28991024,11728,8592
2748.291435374,11728,8608
2748.292970676,11744,8592
2748.29449844,11728,8592
2748.296029408,11744,8608
2748.297554951,11760,8592
2748.299085345,11744,8592
2748.300661424,11728,8608
2748.302252837,11744,8592
2748.303791212,11744,8576
2748.305319625,11744,8592
2748.306837852,11728,8592
2748.308357709,11744,8592
2748.309880677,11744,8592
2748.311405997,11744,8592
2748.312941428,11744,8592
2748.314465285,11728,8592
2748.315982753,11760,8592
2748.317516814,11744,8592
2748.319046652,11728,8592
2748.320572676,11744,8592
2748.322110978,11728,8592
2748.323635594,11760,8592
2748.325160877,11744,8592
2748.326683586,11728,8608
2748.328202702,11744,8592
2748.329724281,11744,8592
2748.331250175,11776,8624
2748.332777013,11744,8576
2748.334299685,11728,8544
2748.335824653,11712,8576
2748.337399085,11680,8560
2748.338932386,11728,8576
2748.340458206,11696,8576
2748.341983026,11712,8592
2748.343511068,11696,8576
2748.345035851,11696,8576
2748.346563338,11728,8560
2748.348082898,11696,8560
2748.349604866,11696,8560
2748.351131205,11712,8560
2748.352654802,11696,8576
2748.354176548,11728,8544
2748.355697961,11728,8576
2748.357230281,11728,8560
2748.358753304,11712,8576
2748.360292458,11696,8576
2748.361814667,11728,8576
2748.363337227,11712,8592
2748.364856806,11712,8592
2748.366382478,11696,8560
2748.36790952,11712,8576
2748.369432785,11712,8560
2748.370958457,11728,8576
2748.372484258,11776,8576
2748.374004115,11728,8592
2748.375526083,11744,8560
2748.377048607,11728,8560
2748.378575056,11728,8592
2748.380102117,11760,8608
2748.381622492,11744,8592
2748.383177461,11744,8592
2748.384701799,11728,8592
2748.386223934,11744,8592
2748.387743624,11712,8592
2748.38927437,11728,8592
2748.390796634,11744,8592
2748.392323028,11728,8592
2748.393844663,11728,8592
2748.395364909,11744,8592
2748.396884951,11728,8592
2748.398410475,11744,8592
2748.399939869,11744,8592
2748.40146217,11728,8592
2748.402982731,11744,8592
2748.404502162,11744,8592
2748.406022982,11728,8608
2748.407545172,11744,8592
2748.409074511,11712,8592
2748.410601349,11728,8592
2748.412127317,11744,8592
2748.413652582,11728,8592
2748.415177679,11728,8592
2748.416703833,11744,8576
2748.418239523,11744,8624
2748.419783936,11728,8592
2748.421337126,11744,8592
2748.422864483,11728,8592
2748.424387173,11728,8608
2748.425912327,11760,8592
2748.427433109,11744,8592
2748.428961115,11744,8592
2748.430485342,11760,8592
2748.432019921,11728,8592
2748.433547945,11712,8576
2748.435072413,11712,8592
2748.436594992,11712,8560
2748.438172553,11712,8560
2748.439711225,11712,8560
2748.441245341,11712,8560
2748.442772309,11744,8560
2748.444298981,11744,8576
2748.445820542,11728,8592
2748.447343343,11696,8576
2748.448870626,11696,8560
2748.450394335,11664,8560
2748.45191734,11712,8560
2748.453439419,11696,8592
2748.454964332,11696,8560
2748.456489152,11728,8560
2748.458020397,11712,8576
2748.459543791,11712,8576
2748.461072834,11712,8592
2748.462593431,11728,8560
2748.464118862,11728,8576
2748.465646701,11744,8544
2748.467172743,11696,8576
2748.468696433,11712,8576
2748.47021705,11696,8576
2748.47173724,11712,8576
2748.473259264,11696,8592
2748.47478188,11744,8592
2748.476325552,11728,8560
2748.477859909,11696,8576
2748.479379173,11728,8592
2748.480904845,11728,8592
2748.48242598,11728,8592
2748.483950133,11728,8592
2748.485474675,11760,8592
2748.48700731,11728,8592
2748.488531833,11760,8608
2748.490055135,11744,8592
2748.491575214,11744,8624
2748.493098664,11728,8592
2748.494621613,11744,8592
2748.496146822,11744,8608
2748.497674679,11744,8592
2748.499196073,11728,8592
2748.500717726,11728,8608
2748.502239898,11728,8592
2748.503767162,11728,8592
2748.505293834,11744,8592
2748.506822006,11728,8640
2748.508350252,11744,8592
2748.509874646,11776,8608
2748.511401466,11728,8608
2748.512936452,11744,8608
2748.514465458,11728,8592
2748.515997315,11712,8592
2748.51752969,11728,8608
2748.519062306,11744,8608
2748.520590089,11744,8592
2748.522115872,11744,8592
2748.523641192,11744,8592
2748.525164957,11712,8608
2748.526693943,11744,8592
2748.528216393,11744,8592
2748.529741231,11744,8592
2748.531266273,11744,8592
2748.532799982,11728,8576
2748.534321876,11712,8560
2748.535846696,11712,8560
2748.537375794,11680,8560
2748.538900706,11696,8560
2748.540430767,11744,8560
2748.541953661,11728,8592
2748.543529259,11712,8608
2748.545073727,11728,8560
2748.546600769,11712,8560
2748.548122293,11696,8544
2748.549651002,11696,8560
2748.551178877,11744,8544
2748.552706882,11696,8576
2748.554232906,11744,8576
2748.555756837,11696,8592
2748.55728025,11696,8560
2748.558803514,11728,8560
2748.560331686,11696,8592
2748.561859487,11712,8592
2748.563382085,11696,8576
2748.564909294,11712,8592
2748.566433577,11712,8576
2748.567956526,11712,8576
2748.569479939,11728,8576
2748.571002888,11744,8592
2748.572530431,11712,8576
2748.574057602,11728,8560
2748.5755822,11712,8576
2748.577105816,11696,8560
2748.57862834,11712,8576
2748.580152178,11728,8592
2748.581672758,11728,8592
2748.583214615,11744,8608
2748.584740268,11760,8592
2748.586263106,11744,8592
2748.587784612,11728,8592
2748.589307839,11760,8592
2748.590830733,11744,8592
2748.592359201,11728,8592
2748.593896965,11728,8576
2748.595424359,11744,8592
2748.596948457,11744,8592
2748.598470925,11760,8592
2748.599993578,11728,8576
2748.601520435,11728,8592
2748.603041422,11744,8592
2748.604569057,11744,8592
2748.606092766,11744,8608
2748.607615919,11744,8592
2748.609138868,11728,8592
