Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
3027.248898351,0.7158,-0.1729,0.7012,-13.837,-44.703,-91.302,0.0,0.0,0.0,-6826,540,-2525
3028.256208339,0.7119,-0.1685,0.6934,-13.859,-44.709,-91.302,-0.1831,-0.3662,0.0,-6810,537,-2508
3029.255841478,0.7139,-0.1743,0.7056,-13.859,-44.692,-91.247,0.1831,0.5493,-0.1221,-6808,520,-2497
3030.255918006,0.7236,-0.1748,0.7124,-13.793,-44.506,-91.291,-0.3662,1.2817,1.1597,-6778,522,-2530
3031.25579529,0.6929,-0.1714,0.6714,-13.623,-44.374,-91.489,-0.6714,-1.2207,1.2817,-6778,510,-2542
3032.255774851,0.7241,-0.1396,0.6802,-13.612,-44.132,-91.609,0.6104,0.061,-2.6245,-6747,558,-2537
3033.255352614,0.6665,-0.1577,0.6401,-13.601,-44.028,-91.67,-0.8545,0.2441,0.5493,-6732,494,-2566
3034.255945172,0.6646,-0.1509,0.6836,-13.376,-43.671,-91.917,-0.7324,-1.0376,0.061,-6703,483,-2589
3035.255848858,0.6963,-0.1704,0.7114,-13.53,-43.786,-91.785,0.0,0.0,0.0,-6725,513,-2615
3036.256045524,0.6987,-0.1699,0.7085,-13.541,-43.797,-91.879,0.0,0.0,0.0,-6713,527,-2589
3037.255656206,0.6987,-0.1694,0.7075,-13.563,-43.808,-91.829,0.0,0.0,0.0,-6726,544,-2599
3038.255872295,0.7075,-0.1685,0.7085,-13.596,-43.786,-91.774,-0.061,0.0,0.061,-6715,553,-2617
3039.255620548,0.7012,-0.1704,0.7085,-13.59,-43.802,-91.84,0.0,0.0,0.0,-6695,503,-2590
3040.255654911,0.7021,-0.1719,0.7109,-13.596,-43.808,-91.758,0.0,0.0,0.0,-6715,544,-2600
3041.255548624,0.7012,-0.1685,0.71,-13.59,-43.808,-91.796,0.0,0.061,0.0,-6702,496,-2592
3042.255898114,0.7012,-0.1714,0.71,-13.585,-43.775,-91.736,0.0,0.0,0.0,-6679,491,-2591
3043.25574925,0.6997,-0.1719,0.7104,-13.579,-43.77,-91.692,0.0,0.0,0.0,-6698,508,-2624
3044.255926126,0.7007,-0.1714,0.7095,-13.59,-43.792,-91.659,0.0,-0.061,0.0,-6696,544,-2608
3045.255814462,0.7007,-0.1714,0.7104,-13.59,-43.797,-91.637,0.0,0.1221,0.0,-6676,498,-2591
3046.255596723,0.7007,-0.1709,0.709,-13.585,-43.808,-91.626,0.0,0.061,0.0,-6728,555,-2591
3047.255745816,0.6997,-0.1709,0.7104,-13.574,-43.797,-91.62,0.0,0.0,0.0,-6699,513,-2626
3048.255820963,0.7007,-0.1719,0.7109,-13.574,-43.792,-91.62,0.0,0.0,0.0,-6698,506,-2601
3049.255787942,0.6997,-0.1709,0.7095,-13.568,-43.786,-91.615,0.0,0.0,0.0,-6709,509,-2587
3050.255547011,0.6982,-0.1724,0.7109,-13.579,-43.797,-91.609,-0.061,-0.061,0.0,-6709,499,-2600
