Time,Data
0.016895,172.27
0.03411,172.27
0.051042,172.27
0.068073,172.27
0.084943,172.27
0.101794,172.27
0.118799,172.27
0.135659,172.35
0.15263,172.35
0.169484,172.35
0.186381,172.35
0.203198,172.35
0.22015,172.27
0.236965,172.27
0.25378,172.27
0.270781,172.27
0.287624,172.27
0.305209,172.27
0.322078,172.27
0.338903,172.27
0.355723,172.27
0.372755,172.27
0.389497,172.27
0.406316,172.27
0.423177,172.27
0.440005,172.27
0.45686,172.27
0.473722,172.27
0.490635,172.27
0.507453,172.27
0.524462,172.27
0.541266,172.27
0.558103,172.27
0.575052,172.27
0.591875,172.27
0.608778,172.27
0.625621,172.27
0.642436,172.35
0.659262,172.27
0.676134,172.27
0.692981,172.27
0.709814,172.27
0.72667,172.27
0.743492,172.27
0.760311,172.27
0.777153,172.27
0.79396,172.35
0.810767,172.27
0.827612,172.35
0.844419,172.35
0.861234,172.27
0.878074,172.27
0.894886,172.35
0.911797,172.35
0.928643,172.27
0.945491,172.27
0.96233,172.27
0.979183,172.27
0.996134,172.27
1.012936,172.27
1.029879,172.27
1.046694,172.27
1.063591,172.27
1.080431,172.27
1.097342,172.27
1.114155,172.27
1.131002,172.27
1.147928,172.35
1.164743,172.27
1.181683,172.35
1.1985,172.27
1.215459,172.27
1.232305,172.27
1.249225,172.27
1.266039,172.27
1.282881,172.27
1.299811,172.27
1.316629,172.27
1.333563,172.27
1.350373,172.27
1.36727,172.27
1.384126,172.27
1.401041,172.27
1.417848,172.35
1.434686,172.27
1.451735,172.35
1.468559,172.27
1.485513,172.27
1.502335,172.27
1.519244,172.27
1.536088,172.27
1.553009,172.27
1.569828,172.27
1.586684,172.27
1.603501,172.27
1.620324,172.27
1.637171,172.27
1.653983,172.35
1.670945,172.44
1.6878,172.44
1.7046,172.53
1.72142,172.53
1.738268,172.53
1.7552,172.53
1.772015,172.53
1.788954,172.44
1.805769,172.35
1.822672,172.35
1.83952,172.18
1.856493,172.27
1.873245,172.18
1.890101,172.27
1.907035,172.27
1.92385,172.27
1.940807,172.27
1.957624,172.27
1.974527,172.27
1.991375,172.27
2.008343,172.27
2.025093,172.27
2.041958,172.18
2.058892,172.27
2.075705,172.27
2.092639,172.27
2.109454,172.35
2.126408,172.44
2.143254,172.53
2.160238,172.62
2.176987,172.53
2.193831,172.44
2.210751,172.44
2.227571,172.35
2.24451,172.27
2.26133,172.18
2.278228,172.27
2.295081,172.18
2.31205,172.27
2.328783,172.27
2.345627,172.27
2.362558,172.35
2.37937,172.27
2.396308,172.35
2.41313,172.35
2.430054,172.35
2.446918,172.44
2.463907,172.44
2.480661,172.35
2.497513,172.35
2.514487,172.27
2.531309,172.27
2.548318,172.27
2.565131,172.27
2.582111,172.18
