Time,PulseCounts1,PulseCounts2
7594.683956901,0.0,0.0
7594.737283268,0.0,0.0
7594.79726228,0.0,0.0
7594.84726875,0.0,0.0
7594.897270034,0.0,0.0
7594.957270343,0.0,0.0
7595.007288665,0.0,0.0
7595.06727638,0.0,0.0
7595.117288999,0.0,0.0
7595.177281196,0.0,0.0
7595.227290962,0.0,0.0
7595.287286956,0.0,0.0
7595.337288611,0.0,0.0
7595.38729071,0.0,0.0
7595.437293236,0.0,0.0
7595.487299113,0.0,0.0
7595.537301324,0.0,0.0
7595.597299336,0.0,0.0
7595.647307658,0.0,0.0
7595.707317374,0.0,0.0
7595.767309238,0.0,0.0
7595.817319467,0.0,0.0
7595.87731596,0.0,0.0
7595.927321449,0.0,0.0
7595.987317035,0.0,0.0
7596.03732595,0.0,0.0
7596.097322517,0.0,0.0
7596.147326654,0.0,0.0
7596.197332661,0.0,0.0
7596.247333242,0.0,0.0
7596.297335138,0.0,0.0
7596.347338274,0.0,0.0
7596.407350509,0.0,0.0
7596.46734141,0.0,0.0
7596.517361472,0.0,0.0
7596.577346392,0.0,0.0
7596.627352399,0.0,0.0
7596.67735461,0.0,0.0
7596.727358913,0.0,0.0
7596.787359388,0.0,0.0
7596.837364895,0.0,0.0
7596.897361463,0.0,0.0
7596.94736634,0.0,0.0
7596.997372921,0.0,0.0
7597.057374063,0.0,0.0
7597.107380422,0.0,0.0
7597.167378082,0.0,0.0
7597.217384552,0.0,0.0
7597.277381064,0.0,0.0
7597.327393034,0.0,0.0
7597.387387601,0.0,0.0
7597.437387775,0.0,0.0
7597.487394375,0.0,0.0
7597.537395715,0.0,0.0
7597.597393301,0.0,0.0
7597.647403253,0.0,0.0
7597.70740982,0.0,0.0
7597.76740261,0.0,0.0
7597.817414969,0.0,0.0
7597.877408018,0.0,0.0
7597.927417859,0.0,0.0
7597.987415297,0.0,0.0
7598.0374186,0.0,0.0
7598.087419033,0.0,0.0
7598.137423614,0.0,0.0
7598.18742651,0.0,0.0
7598.23742948,0.0,0.0
7598.28743069,0.0,0.0
7598.337432531,0.0,0.0
7598.387433723,0.0,0.0
7598.437438952,0.0,0.0
7598.49743602,0.0,0.0
7598.547442545,0.0,0.0
7598.59744983,0.0,0.0
7598.657449824,0.0,0.0
7598.707463053,0.0,0.0
7598.76745675,0.0,0.0
7598.817462442,0.0,0.0
7598.877455362,0.0,0.0
7598.927467017,0.0,0.0
7598.987461807,0.0,0.0
7599.037466332,0.0,0.0
7599.087468876,0.0,0.0
7599.147469648,0.0,0.0
7599.19747097,0.0,0.0
7599.247475791,0.0,0.0
7599.307490711,0.0,0.0
7599.367476538,0.0,0.0
7599.417493119,0.0,0.0
7599.477485168,0.0,0.0
7599.527489342,0.0,0.0
7599.587487891,0.0,0.0
7599.637497213,0.0,0.0
7599.697496336,0.0,0.0
7599.757496589,0.0,0.0
7599.807511577,0.0,0.0
7599.867515386,0.0,0.0
7599.927508175,0.0,0.0
7599.987506762,0.0,0.0
7600.03752375,0.0,0.0
7600.097512558,0.0,0.0
7600.147514473,0.0,0.0
7600.19752398,0.0,0.0
7600.25752327,0.0,0.0
7600.307533054,0.0,0.0
7600.367531011,0.0,0.0
7600.427530208,0.0,0.0
7600.477535215,0.0,0.0
7600.527539204,0.0,0.0
7600.587537827,0.0,0.0
7600.637539093,0.0,0.0
7600.687544934,0.0,0.0
7600.747545372,0.0,0.0
7600.797547379,0.0,0.0
7600.847554145,0.0,0.0
7600.907568027,0.0,0.0
7600.967557539,0.0,0.0
7601.017572491,0.0,0.0
7601.077563281,0.0,0.0
7601.127563769,0.0,0.0
7601.177566406,0.0,0.0
7601.227571931,0.0,0.0
7601.28756824,0.0,0.0
7601.33757545,0.0,0.0
7601.397575574,0.0,0.0
7601.447576303,0.0,0.0
7601.497583495,0.0,0.0
7601.547586261,0.0,0.0
7601.607594903,0.0,0.0
7601.667590582,0.0,0.0
7601.717605515,0.0,0.0
7601.777598712,0.0,0.0
7601.8276027,0.0,0.0
7601.877602856,0.0,0.0
7601.927612937,0.0,0.0
7601.987602986,0.0,0.0
7602.037607993,0.0,0.0
7602.087648203,0.0,0.0
7602.14763953,0.0,0.0
7602.197641648,0.0,0.0
7602.247644804,0.0,0.0
7602.297647681,0.0,0.0
7602.347657614,0.0,0.0
7602.40766207,0.0,0.0
7602.467655731,0.0,0.0
7602.517666941,0.0,0.0
7602.577662361,0.0,0.0
7602.627667849,0.0,0.0
7602.687668047,0.0,0.0
7602.737670702,0.0,0.0
7602.797668362,0.0,0.0
7602.847680869,0.0,0.0
7602.907684381,0.0,0.0
7602.967679578,0.0,0.0
7603.0176914,0.0,0.0
7603.077693338,0.0,0.0
7603.137686758,0.0,0.0
7603.187688468,0.0,0.0
7603.237696216,0.0,0.0
7603.29769295,0.0,0.0
7603.347696476,0.0,0.0
7603.397701131,0.0,0.0
7603.447702805,0.0,0.0
7603.497703089,0.0,0.0
7603.547708004,0.0,0.0
7603.607720609,0.0,0.0
7603.66770888,0.0,0.0
7603.717728868,0.0,0.0
7603.777720195,0.0,0.0
7603.827723369,0.0,0.0
7603.877728246,0.0,0.0
7603.927736364,0.0,0.0
7603.987730247,0.0,0.0
7604.037732772,0.0,0.0
7604.087733057,0.0,0.0
7604.137747823,0.0,0.0
7604.19774191,0.0,0.0
7604.247745046,0.0,0.0
7604.30775178,0.0,0.0
7604.367750422,0.0,0.0
7604.417755725,0.0,0.0
7604.477750923,0.0,0.0
7604.527760708,0.0,0.0
7604.587761942,0.0,0.0
7604.647763269,0.0,0.0
7604.707769948,0.0,0.0
7604.757770214,0.0,0.0
7604.807778313,0.0,0.0
7604.867768362,0.0,0.0
7604.91778161,0.0,0.0
7604.977776752,0.0,0.0
7605.037781097,0.0,0.0
7605.087781382,0.0,0.0
