Time,RawValue1,RawValue2
0.001668,16256,26432
0.003354,16240,26432
0.005026,16256,26416
0.006697,16208,26448
0.008368,16192,26432
0.010162,16256,26432
0.011832,16256,26432
0.013502,16192,26416
0.015171,16256,26448
0.017056,16256,26400
0.018727,16240,26448
0.02043,16240,26416
0.022097,16192,26416
0.023765,16256,26432
0.025434,16256,26432
0.027103,16240,26416
0.028773,16256,26416
0.030443,16272,26432
0.032113,16224,26416
0.033928,16256,26448
0.035597,16256,26448
0.037267,16256,26400
0.038938,16208,26416
0.040607,16272,26448
0.042276,16224,26416
0.043947,16240,26432
0.045615,16224,26464
0.047283,16240,26432
0.048952,16256,26416
0.050783,16256,26400
0.052452,16256,26432
0.054123,16208,26432
0.055792,16256,26464
0.057461,16256,26416
0.059129,16208,26432
0.060797,16256,26416
0.062466,16256,26432
0.064132,16256,26432
0.065802,16256,26432
0.067603,16240,26416
0.069272,16256,26432
0.07094,16240,26416
0.072608,16240,26416
0.074276,16192,26432
0.075946,16256,26432
0.077615,16224,26464
0.079284,16224,26416
0.080954,16208,26448
0.082624,16240,26400
0.084417,16240,26448
0.086084,16240,26448
0.087752,16208,26432
0.089423,16272,26400
0.09109,16240,26416
0.09276,16256,26448
0.09443,16256,26432
0.096101,16240,26400
0.09777,16256,26448
0.099439,16240,26416
0.101277,16272,26416
0.102947,16272,26448
0.104615,16208,26432
0.106284,16224,26432
0.107954,16224,26432
0.109622,16240,26416
0.111288,16224,26416
0.112958,16256,26432
0.114627,16240,26432
0.116296,16256,26416
0.118088,16240,26416
0.119755,16224,26416
0.121423,16224,26464
0.123092,16272,26416
0.12476,16272,26416
0.126429,16224,26448
0.128098,16208,26384
0.129767,16240,26416
0.131435,16240,26432
0.133104,16272,26432
0.134895,16240,26432
0.136565,16208,26432
0.138234,16192,26432
0.139905,16224,26416
0.141575,16256,26400
0.143242,16256,26432
0.144913,16256,26432
0.146583,16240,26464
0.148254,16240,26432
0.149922,16208,26432
0.151743,16240,26416
0.153412,16240,26432
0.155083,16240,26448
0.156754,16256,26416
0.158421,16240,26416
0.160088,16224,26416
0.161756,16240,26432
0.163426,16208,26464
0.165097,16256,26432
0.166766,16240,26416
0.168565,16256,26432
0.170234,16240,26432
0.171901,16224,26416
0.173569,16272,26400
0.175236,16256,26416
0.176906,16256,26416
0.178575,16224,26432
0.180243,16240,26432
0.18191,16240,26448
