Time,Frequency
9.097688,0.0069
0.052297,1.1951
0.041948,1.4899
0.045806,1.3645
0.032678,1.9126
0.04216,1.4824
0.033544,1.8632
0.044368,1.4087
0.034965,1.7875
0.046492,1.3443
0.036978,1.6902
0.048939,1.2771
0.038612,1.6187
0.049199,1.2703
0.037883,1.6498
0.04625,1.3514
0.036491,1.7128
0.044796,1.3952
0.035049,1.7832
0.045181,1.3833
0.033477,1.867
0.043512,1.4364
0.034436,1.815
0.045014,1.3884
0.034998,1.7858
0.046901,1.3326
0.037181,1.681
0.049532,1.2618
0.038967,1.6039
0.050408,1.2399
0.037232,1.6787
0.045894,1.3618
0.035301,1.7705
0.046198,1.3529
0.036129,1.7299
0.04538,1.3773
0.035044,1.7835
0.04615,1.3543
0.036833,1.6968
0.048929,1.2774
0.038518,1.6226
0.051721,1.2084
0.041203,1.5169
0.052512,1.1902
0.035902,1.7408
0.045957,1.36
0.036447,1.7148
0.046456,1.3454
0.036289,1.7223
0.04606,1.3569
0.03592,1.74
0.047279,1.3219
0.036631,1.7062
0.047262,1.3224
0.036031,1.7346
0.047248,1.3228
0.036641,1.7057
0.048829,1.28
0.037807,1.6532
0.046352,1.3484
0.035852,1.7433
0.046217,1.3523
0.036041,1.7341
0.046153,1.3542
0.034407,1.8165
0.044454,1.4059
0.035206,1.7752
0.046487,1.3445
0.037149,1.6824
0.048903,1.278
0.038963,1.6041
0.051693,1.2091
0.03833,1.6306
0.047887,1.3052
0.038279,1.6328
0.050465,1.2385
0.039053,1.6004
0.048507,1.2885
0.038282,1.6326
0.050428,1.2394
0.040801,1.5318
0.052671,1.1866
0.04093,1.527
0.048702,1.2833
0.036785,1.6991
0.047941,1.3037
0.038171,1.6374
0.050058,1.2485
0.038822,1.6099
0.049929,1.2518
0.038467,1.6248
0.050154,1.2462
0.039149,1.5965
0.050746,1.2316
0.03962,1.5775
0.051364,1.2168
0.039786,1.5709
0.051322,1.2178
0.040365,1.5484
0.052063,1.2005
0.037861,1.6508
0.047869,1.3056
0.03552,1.7596
0.043643,1.4321
0.031012,2.0154
0.039579,1.5791
0.028619,2.1839
0.036534,1.7107
0.028356,2.2041
0.035236,1.7738
0.027643,2.261
0.034483,1.8125
0.026637,2.3463
0.032676,1.9127
0.024876,2.5125
0.032432,1.9271
0.025417,2.459
0.032949,1.8969
0.025347,2.4658
0.032846,1.9028
0.025189,2.4812
0.033018,1.8929
0.025785,2.4239
0.033766,1.851
0.026306,2.3759
0.034203,1.8273
0.026751,2.3363
0.034471,1.8131
0.025413,2.4594
0.032962,1.8961
0.0255,2.4509
0.033147,1.8855
