Time,RawValue1,RawValue2
15.678415323,20304,20880
15.681522489,20288,20864
15.683218267,20288,20864
15.684982471,20272,20912
15.686668823,20272,20864
15.688482082,20288,20848
15.690148989,20288,20928
15.69183073,20288,20880
15.693508674,20304,20880
15.695185897,20288,20880
15.696866693,20272,20880
15.698650989,20304,20896
15.700320137,20288,20896
15.702050934,20304,20864
15.703727693,20368,20912
15.70540073,20304,20864
15.707083545,20288,20896
15.708750582,20272,20864
15.710431082,20288,20896
15.712113767,20288,20880
15.713788008,20272,20896
15.715466452,20272,20864
15.717149045,20304,20864
15.71881586,20288,20912
15.720495674,20288,20864
15.722176582,20304,20832
15.723843989,20288,20896
15.725517656,20320,20864
15.727190045,20272,20928
15.728866193,20256,20896
15.730546693,20288,20864
15.732221341,20320,20896
15.733891286,20320,20896
15.73557073,20272,20864
15.737292045,20288,20864
15.738976452,20304,20880
15.740643286,20288,20880
15.742313637,20304,20880
15.743985545,20288,20896
15.745657785,20320,20880
15.747383785,20304,20864
15.749063915,20288,20864
15.750741526,20272,20864
15.75240886,20320,20864
15.754077563,20288,20896
15.755747804,20288,20912
15.757431008,20304,20848
15.759110748,20320,20848
15.760782082,20256,20880
15.762462063,20304,20880
15.764142989,20304,20896
15.765811008,20304,20848
15.767484137,20288,20864
15.769161045,20304,20880
15.770832619,20320,20864
15.772502415,20288,20832
15.774177378,20288,20912
15.775844897,20288,20880
15.777562656,20304,20880
15.779231767,20288,20896
15.780899637,20304,20896
15.782579285,20256,20912
15.784259674,20288,20912
15.785927804,20304,20896
15.787594915,20304,20896
15.789268452,20272,20864
15.790939452,20304,20880
15.7926196,20304,20880
15.794289211,20304,20880
15.795969026,20320,20912
15.797646841,20320,20912
15.799324878,20304,20880
15.801004008,20288,20880
15.802716989,20272,20912
15.804385415,20272,20880
15.806076526,20304,20896
15.807818915,20304,20896
15.809489304,20320,20880
15.811162008,20320,20880
15.812831304,20320,20896
15.814511878,20304,20880
15.816192434,20272,20864
15.817863915,20272,20864
15.819540748,20288,20880
15.821208211,20288,20912
15.822883026,20272,20864
15.824558174,20304,20864
15.826231897,20288,20864
15.827905063,20288,20880
15.829575248,20288,20864
15.831251508,20304,20880
15.832924582,20320,20928
15.83459723,20288,20864
15.836265267,20288,20864
15.837933415,20304,20864
15.839601508,20272,20864
15.841278211,20288,20864
15.842952304,20304,20912
15.844620063,20320,20896
15.846289026,20288,20864
15.847958489,20304,20896
15.849633397,20304,20864
15.851305471,20304,20864
15.852975211,20320,20896
15.854646582,20288,20880
15.8563196,20272,20896
15.857996008,20304,20864
15.859671008,20304,20864
15.861345434,20288,20880
15.863022619,20320,20896
15.864696897,20304,20880
15.86636773,20320,21008
15.868036434,20272,20896
15.869712248,20304,20896
15.871387934,20336,20912
15.8730591,20320,20912
15.874731897,20304,20880
15.876403897,20272,20880
15.878079211,20304,20864
15.879751082,20288,20896
15.8814241,20304,20896
15.883092489,20304,20896
15.884765193,20272,20880
15.886436193,20304,20880
15.888110211,20304,20864
15.889782452,20288,20896
15.89145073,20288,20848
15.893119378,20272,20880
15.894791526,20304,20880
15.8964606,20272,20896
15.898130378,20304,20896
15.899804452,20336,20896
15.9014811,20288,20912
15.903151211,20336,20912
15.904823045,20288,20848
15.906491082,20288,20880
15.908172748,20288,20880
15.909841119,20288,20880
15.911513285,20320,20864
15.913183971,20304,20912
15.914854748,20304,20912
15.916526767,20304,20864
15.918199656,20304,20864
15.919874359,20320,20944
15.921544674,20320,20912
15.923220285,20272,20880
15.924894174,20288,20896
15.926570619,20304,20832
15.92824423,20288,20880
15.92991573,20288,20928
15.931593063,20288,20880
15.933267878,20288,20896
15.934938934,20272,20880
15.936606582,20272,20880
15.938275322,20272,20864
15.939948711,20288,20896
15.941618248,20320,20880
15.943288508,20272,20912
15.94495523,20320,20912
