Time,Data
3.000467,-0.1
3.010995,-0.1
3.021242,-0.1
3.031277,-0.1
3.041476,-0.1
3.051852,-0.1
3.062121,-0.1
3.072321,-0.1
3.082323,-0.1
3.092476,-0.1
3.102507,-0.1
3.112682,-0.1
3.122797,-0.1
3.132811,-0.1
3.142948,-0.1
3.152965,-0.1
3.163159,-0.1
3.173162,-0.1
3.183165,-0.1
3.193329,-0.1
3.20333,-0.1
3.21349,-0.1
3.223611,-0.1
3.233624,-0.1
3.243739,-0.1
3.253759,-0.1
3.263903,-0.1
3.274056,-0.1
3.28406,-0.1
3.294164,-0.1
3.304176,-0.1
3.314341,-0.1
3.324451,-0.1
3.334464,-0.1
3.344587,-0.1
3.354601,-0.1
3.364736,-0.1
3.374849,-0.1
3.38487,-0.1
3.394981,-0.1
3.405003,-0.1
3.415184,-0.1
3.425315,-0.1
3.435319,-0.1
3.4454,-0.1
3.455441,-0.1
3.465603,-0.1
3.475696,-0.1
3.485704,-0.1
3.495841,-0.1
3.505853,-0.1
3.516,-0.1
3.526143,-0.1
3.536147,-0.1
3.546257,-0.1
3.556294,-0.1
3.566476,-0.1
3.576603,-0.1
3.586605,-0.1
3.596716,-0.1
3.606718,-0.1
3.616859,-0.1
3.626897,-0.1
3.636994,-0.1
3.647098,-0.1
3.657109,-0.1
3.667249,-0.1
3.677369,-0.1
3.687376,-0.1
3.697483,-0.1
3.707491,-0.1
3.717629,-0.1
3.727736,-0.1
3.737745,-0.1
3.747848,-0.1
3.757864,-0.1
3.767997,-0.1
3.778144,-0.1
3.788154,-0.1
3.798261,-0.1
3.808273,-0.1
3.81841,-0.1
3.828552,-0.1
3.838556,-0.1
3.848668,-0.1
3.858675,-0.1
3.868811,-0.1
3.878967,-0.1
3.88899,-0.1
3.8991,-0.1
3.909126,-0.1
3.919264,-0.1
3.929403,-0.1
3.939406,-0.1
3.949521,-0.1
3.959532,-0.1
3.969668,-0.1
3.979787,-0.1
3.989792,-0.1
3.999898,-0.1
4.009915,-0.1
4.020063,-0.1
4.030205,-0.1
4.040221,-0.1
4.050333,-0.1
4.060343,-0.1
4.070482,-0.1
4.080593,-0.1
4.090601,-0.1
4.100709,-0.1
4.110729,-0.1
4.120862,-0.1
4.130957,-0.1
4.140983,-0.1
4.151087,-0.1
4.161104,-0.1
4.171232,-0.1
4.18135,-0.1
4.191354,-0.1
4.201464,-0.1
4.211469,-0.1
4.22162,-0.1
4.231734,-0.1
4.241749,-0.1
4.251856,-0.1
4.261866,-0.1
4.272004,-0.1
4.282118,-0.1
4.292135,-0.1
4.302283,-0.1
4.312304,-0.1
4.322435,-0.1
4.332557,-0.1
4.342558,-0.1
4.352683,-0.1
4.362689,-0.1
4.372839,-0.1
4.382944,-0.1
4.392952,-0.1
4.403108,-0.1
4.413122,-0.1
4.423263,-0.1
4.433367,-0.1
4.443393,-0.1
4.453527,-0.1
4.46354,-0.1
4.473676,-0.1
4.48379,-0.1
4.493805,-0.1
4.503915,-0.1
4.513932,-0.1
4.524067,-0.1
4.53417,-0.1
4.54418,-0.1
4.55429,-0.1
4.56431,-0.1
4.574458,-0.1
4.58456,-0.1
4.594562,-0.1
4.604675,-0.1
4.614682,-0.1
4.624814,-0.1
4.635083,-0.1
4.645113,-0.1
4.65523,-0.1
4.665251,-0.1
4.675417,-0.1
4.685543,-0.1
4.695564,-0.1
4.705672,-0.1
4.715684,-0.1
4.725862,-0.1
4.735986,-0.1
4.745993,-0.1
4.756065,-0.1
4.766093,-0.1
4.776298,-0.1
4.786371,-0.1
4.796384,-0.1
4.806524,-0.1
4.816529,-0.1
4.826683,-0.1
4.836813,-0.1
4.846814,-0.1
4.856891,-0.1
4.866914,-0.1
4.877051,-0.1
4.88717,-0.1
4.897191,-0.1
4.907293,-0.1
4.917316,-0.1
4.927456,-0.1
4.937552,-0.1
4.947564,-0.1
4.95767,-0.1
4.967696,-0.1
4.977843,-0.1
4.987954,-0.1
4.997963,-0.1
