Time,Data
6.671848,0.01
7.193794,0.12
7.827359,0.1
8.085934,0.24
8.278964,0.32
8.445079,0.38
8.58798,0.44
8.715376,0.49
8.83166,0.54
8.941668,0.56
9.045412,0.6
9.143718,0.64
9.236915,0.67
9.326233,0.7
9.412032,0.73
9.494774,0.76
9.57309,0.8
9.649126,0.82
9.723313,0.84
9.795409,0.87
9.864591,0.9
9.931161,0.94
9.994859,0.98
10.056342,1.02
10.115542,1.06
10.172615,1.1
10.228121,1.12
10.282153,1.15
10.334476,1.19
10.384922,1.24
10.433817,1.28
10.481553,1.31
10.527459,1.36
10.572834,1.38
10.617109,1.41
10.660557,1.44
10.702691,1.48
10.74439,1.5
10.78555,1.52
10.825007,1.58
10.863867,1.61
10.90206,1.64
10.939985,1.65
10.977299,1.67
11.014048,1.7
11.050101,1.73
11.085361,1.77
11.120211,1.79
11.154052,1.85
11.187577,1.86
11.220709,1.89
11.253211,1.92
11.285039,1.96
11.316256,2.0
11.3467,2.04
11.376893,2.06
11.406565,2.11
11.435562,2.16
11.464254,2.18
11.492697,2.2
11.520722,2.23
11.548105,2.27
11.575012,2.31
11.602057,2.31
11.628403,2.37
11.654375,2.41
11.680223,2.42
11.705988,2.43
11.731508,2.45
11.75677,2.47
11.781622,2.5
11.806178,2.54
11.830623,2.56
11.854677,2.6
11.878549,2.62
11.902375,2.62
11.925621,2.69
11.94887,2.69
11.971537,2.76
11.994348,2.74
12.016943,2.77
12.039309,2.79
12.061621,2.8
12.083701,2.83
12.105633,2.85
12.127326,2.88
12.148815,2.91
12.169922,2.96
12.190825,2.99
12.211609,3.01
12.232358,3.01
12.253466,2.96
12.274151,3.02
12.294875,3.02
12.315441,3.04
12.3355,3.12
12.35527,3.16
12.374822,3.2
12.39428,3.21
12.413669,3.22
12.432932,3.24
12.452213,3.24
12.471369,3.26
12.490218,3.32
12.508861,3.35
12.527234,3.4
12.545661,3.39
12.564325,3.35
12.582017,3.53
12.600539,3.37
12.618223,3.53
12.636031,3.51
12.653646,3.55
12.671448,3.51
12.689123,3.54
12.706797,3.54
12.7244,3.55
12.741762,3.6
12.758998,3.63
12.77598,3.68
12.792977,3.68
12.809915,3.69
12.826927,3.67
12.844101,3.64
12.860788,3.75
12.877943,3.64
12.894429,3.79
12.910847,3.81
12.92738,3.78
12.943763,3.82
12.960235,3.79
12.976743,3.79
12.9933,3.77
13.009788,3.79
13.025974,3.86
13.042188,3.85
13.058635,3.8
13.074938,3.83
13.091271,3.83
13.107684,3.81
13.123779,3.88
13.140163,3.81
13.156321,3.87
13.172472,3.87
13.188667,3.86
13.204683,3.9
13.220812,3.88
13.236917,3.88
13.252974,3.89
13.269022,3.89
13.284958,3.92
13.300738,3.96
13.316589,3.94
13.332383,3.96
13.348272,3.93
13.364167,3.93
13.379849,3.99
13.402064,2.81
13.411592,6.56
13.426845,4.09
13.442093,4.09
13.457538,4.05
13.473299,3.97
13.488522,4.11
13.504394,3.94
13.519337,4.18
13.534703,4.07
13.549855,4.12
13.565047,4.11
13.579984,4.18
13.594997,4.16
13.610087,4.13
13.625335,4.09
13.640751,4.05
13.655252,4.3
13.669953,4.25
13.684892,4.18
13.699658,4.23
13.714555,4.2
13.72939,4.21
13.7442,4.22
13.75864,4.33
13.773096,4.32
13.787552,4.32
13.80195,4.34
13.81624,4.37
13.830706,4.32
13.845121,4.34
13.859543,4.33
13.87947,3.14
13.888006,7.32
13.902149,4.42
13.916179,4.45
13.930054,4.5
13.944081,4.46
13.958,4.49
13.971843,4.51
13.986033,4.4
13.999405,4.67
14.013024,4.59
14.026742,4.55
14.040193,4.65
14.05378,4.59
14.06744,4.58
14.080984,4.61
14.100022,3.28
14.108173,7.67
14.121089,4.84
14.13449,4.66
14.147808,4.69
14.161051,4.72
14.174166,4.76
14.187426,4.71
14.200488,4.79
14.21341,4.84
14.226403,4.8
14.239314,4.84
14.252113,4.88
14.26501,4.84
14.277951,4.83
14.290874,4.84
14.304049,4.74
14.3163,5.09
14.329021,4.91
14.341483,5.01
14.353937,5.01
14.366527,4.96
14.379137,4.96
14.391662,4.99
14.404081,5.03
14.416379,5.08
14.428707,5.07
14.441036,5.07
14.453436,5.04
14.465447,5.2
14.477745,5.08
14.49011,5.05
14.506994,3.7
14.514469,8.36
14.526447,5.22
14.538384,5.24
14.550222,5.28
14.562159,5.24
14.574045,5.26
14.586046,5.21
14.598055,5.2
14.609831,5.31
14.621515,5.35
14.633169,5.36
14.644984,5.29
14.656618,5.37
14.668445,5.28
14.680502,5.18
14.696625,3.88
14.703932,8.55
14.715158,5.57
14.726745,5.39
14.737558,5.78
14.749375,5.29
14.760544,5.6
14.771763,5.57
14.783516,5.32
14.794448,5.72
14.805873,5.47
14.816941,5.65
14.828116,5.59
14.839322,5.58
14.85055,5.57
14.861729,5.59
14.873135,5.48
14.884855,5.33
14.89551,5.87
14.906062,5.92
14.916821,5.81
14.927749,5.72
14.938735,5.69
14.949651,5.73
14.96081,5.6
14.971668,5.76
14.982312,5.87
14.993024,5.83
15.003838,5.78
15.014552,5.83
15.025284,5.82
15.036465,5.59
15.051312,4.21
15.057668,9.83
15.068278,5.89
15.079083,5.78
15.089655,5.91
15.100292,5.88
15.110941,5.87
15.126187,4.09
15.136098,6.31
15.142811,9.31
15.152931,6.18
15.163343,6.0
15.173606,6.09
15.184348,5.82
15.194678,6.05
15.208782,4.43
15.215288,9.61
15.225434,6.16
15.235918,5.96
15.246206,6.07
15.256479,6.08
15.266737,6.09
15.277018,6.08
15.2877,5.85
15.301607,4.49
15.307941,9.86
15.317836,6.32
15.327906,6.21
15.337918,6.24
15.349338,5.47
15.358222,7.04
15.368277,6.22
15.378847,5.91
15.388281,6.63
15.398148,6.33
15.408297,6.16
15.418187,6.32
15.428007,6.36
15.438215,6.12
15.447864,6.48
15.461826,4.48
15.46865,9.16
15.477717,6.89
15.487481,6.4
15.497207,6.43
15.506984,6.39
15.51686,6.33
15.526992,6.17
15.540438,4.65
15.546388,10.5
15.556202,6.37
15.565952,6.41
15.575544,6.52
15.585352,6.37
15.595058,6.44
15.608782,4.55
15.618338,6.54
15.624359,10.38
15.633936,6.53
15.643494,6.54
15.653077,6.52
15.662691,6.5
15.672048,6.68
15.681884,6.35
15.695245,4.68
15.700935,10.98
15.710616,6.46
15.719949,6.7
15.729331,6.66
15.738835,6.58
15.748368,6.56
15.758187,6.37
15.771137,4.83
15.777094,10.49
15.786481,6.66
15.796019,6.55
15.805457,6.62
15.814842,6.66
15.82423,6.66
15.833562,6.7
15.846627,4.78
15.852806,10.11
15.862167,6.68
15.871324,6.83
15.880224,7.02
15.88949,6.75
15.898902,6.64
15.908611,6.44
15.921161,4.98
15.926918,10.86
15.939641,4.91
15.94548,10.7
15.954662,6.81
15.963781,6.85
15.972963,6.81
15.982502,6.55
15.99163,6.85
16.001386,6.41
16.01338,5.21
16.019253,10.64
16.02813,7.04
16.038025,6.32
16.046289,7.56
16.05561,6.71
16.068187,4.97
16.073691,11.36
16.082903,6.78
16.092009,6.86
16.100987,6.96
16.110032,6.91
16.119183,6.83
16.12834,6.83
16.137609,6.74
16.14673,6.85
16.155781,6.91
16.164902,6.85
16.17405,6.83
16.182943,7.03
16.192067,6.85
16.201231,6.82
16.210474,6.76
16.219442,6.97
16.228767,6.7
16.237846,6.88
16.246918,6.89
16.256044,6.85
16.265239,6.8
16.2744,6.82
16.283639,6.77
16.293092,6.61
16.302381,6.73
16.3151,4.91
16.324265,6.82
16.329891,11.11
16.339247,6.68
16.348433,6.8
16.357744,6.71
16.366955,6.78
16.379966,4.8
16.385879,10.57
16.394977,6.87
16.404249,6.74
16.413605,6.68
16.422965,6.68
16.432334,6.67
16.441838,6.58
16.4514,6.54
16.46427,4.86
16.473904,6.49
16.480129,10.03
16.489398,6.74
16.498811,6.64
16.50841,6.51
16.518038,6.49
16.528358,6.06
16.537333,6.96
16.546889,6.54
16.556287,6.65
16.565892,6.51
16.57545,6.54
16.585318,6.33
16.594538,6.78
16.604288,6.41
16.614642,6.04
16.627533,4.84
16.633727,10.09
16.643374,6.48
