Time,Lat,Long,Alt,Speed,Sats
306.492956213,0,0,0,0,0
306.614122351,39.764283,-105.226416,1825.6,1.0,5
306.714073812,39.764283,-105.226416,1825.6,0.99,5
306.814127625,39.764283,-105.226416,1825.6,0.98,5
306.914108364,39.764283,-105.226416,1825.6,0.97,5
307.014108233,39.764283,-105.226416,1825.6,0.96,5
307.114107416,39.764283,-105.226416,1825.6,0.95,5
307.214138841,39.764283,-105.226416,1825.6,0.95,5
307.314161413,39.764283,-105.226416,1825.6,0.94,5
307.414178281,39.764285,-105.226416,1825.6,0.94,5
307.514186926,39.764285,-105.226415,1825.6,0.93,5
307.614162183,39.764285,-105.226415,1825.6,0.92,5
307.714174199,39.764285,-105.226415,1825.6,0.91,5
307.814181437,39.764285,-105.226415,1825.6,0.9,5
307.914172915,39.764285,-105.226415,1825.6,0.9,5
308.014195783,39.764285,-105.226415,1825.6,0.89,5
308.114195595,39.764285,-105.226415,1825.6,0.88,5
308.214205666,39.764285,-105.226413,1825.6,0.87,5
308.314215552,39.764286,-105.226413,1825.6,0.86,5
308.4142049,39.764286,-105.226413,1825.6,0.85,5
308.514206767,39.764286,-105.226413,1825.6,0.84,5
308.6142033,39.764286,-105.226413,1825.6,0.83,5
308.714214296,39.764286,-105.226413,1825.5,0.81,5
308.814222681,39.764286,-105.226411,1825.5,0.8,5
308.914255677,39.764286,-105.226411,1825.5,0.77,5
309.01424784,39.764286,-105.226411,1825.5,0.76,5
309.114246799,39.764286,-105.226411,1825.5,0.76,5
309.214243425,39.764286,-105.226411,1825.5,0.75,5
309.314244717,39.764286,-105.226411,1825.5,0.75,5
309.414259675,39.764288,-105.226411,1825.5,0.75,5
309.514267411,39.764288,-105.226411,1825.5,0.75,5
309.614263332,39.764288,-105.226411,1825.5,0.74,5
309.714263031,39.764288,-105.226411,1825.5,0.75,5
309.814277822,39.764288,-105.226411,1825.5,0.75,5
309.914266187,39.764288,-105.226411,1825.5,0.75,5
310.014290757,39.764288,-105.226411,1825.5,0.74,5
310.114274214,39.764288,-105.226411,1825.5,0.74,5
310.21429721,39.764288,-105.226411,1825.5,0.74,5
310.314314779,39.76429,-105.226411,1825.5,0.74,5
310.414287087,39.76429,-105.226411,1825.5,0.73,5
310.514307118,39.76429,-105.226411,1825.5,0.73,5
310.614299372,39.76429,-105.226411,1825.5,0.73,5
310.714301495,39.76429,-105.226411,1825.5,0.72,5
310.814301119,39.76429,-105.226411,1825.5,0.72,5
310.914314038,39.76429,-105.226411,1825.5,0.72,5
311.014313514,39.76429,-105.226411,1825.5,0.71,5
311.1143121,39.76429,-105.226411,1825.5,0.7,5
311.214324187,39.764291,-105.226411,1825.5,0.7,5
311.314327273,39.764291,-105.226411,1825.5,0.71,5
311.414327692,39.764291,-105.226411,1825.5,0.71,5
311.514321722,39.764291,-105.226411,1825.5,0.72,5
311.61433203,39.764291,-105.226411,1825.5,0.72,5
311.714338541,39.764291,-105.226411,1825.5,0.73,5
311.814346867,39.764291,-105.226411,1825.5,0.74,5
311.914349138,39.764291,-105.226411,1825.5,0.75,5
312.014359742,39.764291,-105.226411,1825.5,0.76,5
312.114373716,39.764293,-105.226411,1825.5,0.76,5
312.214362024,39.764293,-105.226411,1825.5,0.77,5
312.31437548,39.764293,-105.226411,1825.5,0.79,5
312.414379287,39.764293,-105.226411,1825.5,0.8,5
312.514420871,39.764293,-105.22641,1825.5,0.81,5
312.614423678,39.764293,-105.22641,1825.5,0.83,5
312.714437651,39.764293,-105.22641,1825.5,0.85,5
312.81444455,39.764293,-105.22641,1825.5,0.87,5
312.914449746,39.764295,-105.22641,1825.5,0.89,5
313.0144617,39.764295,-105.22641,1825.5,0.92,5
313.114465692,39.764295,-105.22641,1825.5,0.94,5
313.214475128,39.764295,-105.22641,1825.5,0.96,5
313.314490602,39.764295,-105.22641,1825.5,0.99,5
313.414535445,39.764295,-105.22641,1825.5,1.01,5
313.514562176,39.764295,-105.22641,1825.5,1.04,5
313.614591019,39.764296,-105.226408,1825.5,1.07,5
313.714594602,39.764296,-105.226408,1825.5,1.09,5
313.814610408,39.764298,-105.226406,1825.5,1.11,5
313.914629695,39.764298,-105.226405,1825.5,1.13,5
314.014643723,39.7643,-105.226403,1825.5,1.14,5
314.114639361,39.764301,-105.226401,1825.4,1.16,5
314.214646741,39.764301,-105.2264,1825.4,1.18,5
314.314642621,39.764303,-105.2264,1825.4,1.19,5
314.414634777,39.764303,-105.226398,1825.4,1.2,5
314.514646137,39.764305,-105.226396,1825.4,1.21,5
314.614693553,39.764305,-105.226395,1825.3,1.22,5
314.714679895,39.764305,-105.226395,1825.3,1.23,5
314.814663421,39.764306,-105.226393,1825.3,1.23,5
314.914716078,39.764306,-105.226391,1825.3,1.24,5
315.014735938,39.764306,-105.226391,1825.3,1.24,5
