Time,AccX,AccY,AccZ,AngleX,AngleY,AngleZ
306.492956861,0,0,0,0,0,0
306.614120036,,,,,,
306.714072256,-0.0195,0.0986,1.0186,5.504,1.121,35.151
306.81412581,-0.0195,0.0981,1.0181,5.51,1.121,35.151
306.914106827,-0.0195,0.0986,1.0186,5.504,1.121,35.151
307.014106714,-0.019,0.0981,1.0176,5.51,1.121,35.151
307.114105861,-0.0195,0.0981,1.0195,5.51,1.121,35.151
307.214137489,-0.0205,0.0981,1.019,5.51,1.115,35.151
307.314159765,-0.0186,0.0986,1.0195,5.51,1.115,35.151
307.414176929,-0.02,0.0981,1.0186,5.51,1.115,35.151
307.514185371,-0.019,0.0981,1.0186,5.51,1.115,35.151
307.614160775,-0.019,0.0981,1.0176,5.51,1.11,35.151
307.71417281,-0.0205,0.0981,1.0186,5.51,1.11,35.151
307.814180196,-0.02,0.0977,1.0176,5.51,1.11,35.151
307.914171637,-0.019,0.0981,1.0195,5.51,1.11,35.151
308.014194375,-0.019,0.0986,1.0181,5.51,1.11,35.151
308.11419428,-0.0195,0.0977,1.0195,5.51,1.11,35.151
308.214204351,-0.0195,0.0981,1.0181,5.51,1.104,35.151
308.314214108,-0.019,0.0981,1.0195,5.51,1.104,35.151
308.414203512,-0.019,0.0986,1.0181,5.51,1.104,35.151
308.514205397,-0.0195,0.0977,1.0186,5.51,1.104,35.151
308.614202004,-0.019,0.0986,1.0171,5.51,1.099,35.151
308.714212944,-0.019,0.0977,1.019,5.51,1.099,35.151
308.814221422,-0.0195,0.0977,1.0181,5.51,1.099,35.151
308.914254344,-0.0186,0.0981,1.0181,5.51,1.099,35.151
309.014246507,-0.019,0.0986,1.0176,5.51,1.099,35.151
309.114245392,-0.019,0.0977,1.0181,5.51,1.099,35.151
309.214242054,-0.0186,0.0981,1.019,5.51,1.093,35.151
309.314243162,-0.019,0.0986,1.0186,5.51,1.093,35.151
309.414258342,-0.0186,0.0977,1.0176,5.51,1.093,35.151
309.514266004,-0.0195,0.0981,1.0181,5.51,1.093,35.151
309.614261999,-0.02,0.0991,1.0181,5.51,1.093,35.151
309.714261734,-0.019,0.0977,1.0181,5.51,1.093,35.151
309.814276489,-0.0195,0.0972,1.0171,5.51,1.093,35.151
309.914264873,-0.019,0.0981,1.0195,5.515,1.093,35.151
310.014289442,-0.0195,0.0977,1.0176,5.515,1.093,35.151
310.1142729,-0.0195,0.0981,1.0186,5.515,1.093,35.151
310.214295802,-0.02,0.0986,1.0186,5.515,1.093,35.151
310.314313445,-0.0195,0.0986,1.019,5.515,1.093,35.151
310.414285754,-0.0195,0.0986,1.0186,5.515,1.093,35.151
310.514305785,-0.019,0.0981,1.0186,5.515,1.093,35.151
310.614298057,-0.02,0.0981,1.0176,5.515,1.093,35.151
310.714300217,-0.0195,0.0986,1.0181,5.515,1.093,35.151
310.814299619,-0.019,0.0991,1.0181,5.515,1.093,35.151
310.914312761,-0.019,0.0981,1.0181,5.515,1.093,35.151
311.014312162,-0.019,0.0991,1.0181,5.515,1.093,35.151
311.114310841,-0.019,0.0981,1.0181,5.515,1.093,35.151
311.214322891,-0.0186,0.0986,1.0171,5.515,1.093,35.151
311.314325996,-0.0205,0.0977,1.0181,5.515,1.093,35.151
311.414326359,-0.0186,0.0991,1.0186,5.515,1.088,35.151
311.514320315,-0.019,0.0981,1.0195,5.515,1.093,35.151
311.614330715,-0.0205,0.0977,1.0176,5.515,1.088,35.151
311.714337226,-0.019,0.0981,1.019,5.515,1.093,35.151
311.814345571,-0.0195,0.0986,1.02,5.515,1.088,35.151
311.914347749,-0.0195,0.0986,1.019,5.515,1.088,35.151
312.014358409,-0.0186,0.0986,1.019,5.515,1.088,35.151
312.114372439,-0.02,0.0981,1.0176,5.521,1.088,35.151
312.214360783,-0.0171,0.0996,1.022,5.515,1.082,35.151
312.314374054,-0.02,0.0977,1.0151,5.515,1.082,35.151
312.414378009,-0.0166,0.0991,1.019,5.515,1.077,35.151
312.514419593,-0.0205,0.0981,1.0166,5.515,1.082,35.151
312.614422344,-0.0186,0.0981,1.02,5.515,1.077,35.151
312.714436355,-0.0181,0.0991,1.0176,5.515,1.071,35.151
312.814443291,-0.0181,0.0981,1.0195,5.515,1.071,35.151
312.914448505,-0.0205,0.0981,1.0181,5.515,1.071,35.151
313.014460423,-0.0176,0.0977,1.0181,5.515,1.066,35.151
313.114464414,-0.021,0.0986,1.0181,5.515,1.071,35.151
313.214473869,-0.0186,0.0981,1.0171,5.515,1.066,35.151
313.314489268,-0.0205,0.0981,1.019,5.515,1.066,35.151
313.414534185,-0.02,0.0981,1.0181,5.515,1.06,35.151
313.514560824,-0.0186,0.0981,1.019,5.515,1.06,35.151
313.614589648,-0.0186,0.0991,1.0181,5.515,1.06,35.151
313.71459325,-0.0195,0.0991,1.019,5.515,1.055,35.145
313.814609056,-0.0186,0.0981,1.0195,5.515,1.055,35.145
313.914628417,-0.0181,0.0986,1.019,5.515,1.055,35.145
314.014642297,-0.02,0.0972,1.019,5.515,1.055,35.145
314.114637991,-0.019,0.0986,1.0195,5.515,1.055,35.145
