Timestamp (s),Potentiometer Raw Value
0.000000,0
0.001020,0
0.001864,0
0.002682,0
0.003578,16
0.004406,0
0.005213,0
0.006016,0
0.006837,0
0.007633,0
0.008433,0
0.009227,0
0.010165,0
0.010971,0
0.011771,0
0.012562,0
0.013360,0
0.014301,0
0.015096,0
0.016039,0
0.016829,0
0.017616,16
0.018558,0
0.019498,0
0.020284,0
0.021132,0
0.022001,0
0.022848,0
0.023654,0
0.024454,0
0.025246,0
0.026124,0
0.027019,0
0.027873,0
0.028710,0
0.029503,0
0.030293,0
0.031242,0
0.032212,0
0.033067,0
0.033888,0
0.034691,0
0.035593,0
0.036552,0
0.037369,0
0.039384,0
0.040484,0
0.042913,0
0.044021,0
0.044851,16
0.045650,0
0.046445,0
0.047233,0
0.048034,0
0.048828,0
0.049618,16
0.050409,0
0.051196,0
0.052506,0
0.053348,0
0.054145,0
0.054934,0
0.055724,0
0.056516,0
0.057328,0
0.058247,0
0.059105,0
0.059988,0
0.060797,0
0.061590,0
0.062381,0
0.063170,0
0.063987,0
0.064811,0
0.065620,0
0.066421,16
0.067219,0
0.068022,0
0.069103,0
0.071364,0
0.072934,0
0.073838,0
0.074663,0
0.075514,0
0.076340,0
0.077174,0
0.078144,0
0.078978,0
0.079797,0
0.080638,0
0.081457,0
0.082291,0
0.083095,0
0.083938,0
0.084757,0
0.085594,0
0.086415,0
0.087250,0
0.088068,0
0.089680,0
0.090739,0
0.091665,0
0.092510,0
0.093317,0
0.094119,16
0.094915,32
0.095712,64
0.096547,112
0.097359,128
0.098391,176
0.099254,208
0.100062,240
0.102124,336
0.103218,384
0.104252,432
0.105483,496
0.106414,528
0.107233,560
0.108035,608
0.108830,656
0.109624,720
0.110417,752
0.111211,816
0.112008,848
0.112894,912
0.113689,960
0.114490,1008
0.115284,1072
0.116084,1120
0.116875,1168
0.117685,1232
0.118497,1296
0.119307,1344
0.120129,1408
0.121007,1456
0.121925,1536
0.122793,1600
0.123720,1680
0.124540,1744
0.125340,1808
0.126266,1888
0.127106,1968
0.127910,2032
0.129032,2144
0.129896,2208
0.131032,2320
0.132400,2448
0.133373,2544
0.134316,2624
0.135135,2688
0.136822,2880
0.137889,2992
0.139051,3104
0.140094,3200
0.140978,3296
0.141786,3392
0.142598,3472
0.143388,3552
0.144178,3632
0.145106,3728
0.145936,3824
0.146747,3904
0.147540,4000
0.148334,4096
0.149128,4176
0.149919,4272
0.150712,4336
0.151532,4448
0.152433,4544
0.153646,4672
0.154466,4768
0.155258,4864
0.156047,4960
0.156859,5056
0.157667,5152
0.158474,5232
0.159265,5328
0.160056,5424
0.160845,5520
0.161767,5616
0.164419,5936
0.165389,6064
0.166358,6176
0.167181,6272
0.168681,6480
0.169869,6608
0.170714,6720
0.171512,6800
0.172317,6896
0.173109,7008
0.174049,7104
0.174839,7200
0.175778,7312
0.176720,7440
0.177668,7568
0.178453,7648
0.179392,7760
0.180179,7856
0.180971,7952
0.181759,8048
0.182580,8160
0.183511,8272
0.184414,8368
0.185271,8480
0.186066,8576
0.186860,8672
0.187644,8768
0.188585,8880
0.189526,9008
0.190467,9120
0.191259,9216
0.192045,9312
0.192985,9424
0.193952,9536
0.194753,9616
0.195558,9728
0.196361,9824
0.197154,9920
0.198213,10048
0.199072,10144
0.200552,10336
0.201452,10448
0.202261,10544
0.203051,10624
0.203839,10720
0.204632,10816
0.205574,10944
0.206363,11024
0.207151,11120
0.207940,11216
0.208855,11312
0.209755,11424
0.210628,11536
0.211448,11632
0.212245,11728
0.213042,11824
0.213841,11904
0.214714,12032
0.215610,12112
0.216476,12224
0.217331,12352
0.218126,12432
0.218915,12544
0.219704,12608
0.220497,12704
0.221458,12832
0.222275,12896
0.223114,13008
0.223912,13104
0.224707,13216
0.225500,13296
0.226332,13392
0.227138,13504
0.227936,13584
0.228747,13664
0.229548,13776
0.230550,13872
0.231367,13952
0.233401,14192
0.234345,14288
0.235158,14384
0.235960,14448
0.236760,14576
0.237562,14624
0.238361,14736
0.239158,14816
0.239957,14912
0.240758,14992
0.241560,15072
0.242559,15184
0.243374,15248
0.244182,15360
0.245020,15440
0.245908,15536
0.246809,15616
0.247881,15744
0.248751,15840
0.249554,15920
0.250353,15984
0.251153,16064
0.252102,16160
0.252898,16208
0.253685,16336
0.254475,16400
0.255265,16464
0.256058,16544
0.256847,16608
0.257638,16688
0.258727,16800
0.259599,16880
0.260490,16976
0.263391,17248
0.264744,17360
0.266230,17520
0.267252,17600
0.268078,17664
0.268880,17760
0.269671,17824
0.270460,17888
0.271248,17968
0.272035,18048
0.272826,18112
0.273614,18192
0.274402,18256
0.275192,18304
0.275991,18400
0.276873,18480
0.277743,18544
0.278579,18608
0.279368,18672
0.280156,18768
0.280945,18848
0.281731,18880
0.282511,18976
0.283290,19040
0.284070,19120
0.284850,19184
0.285630,19248
0.286409,19312
0.287188,19376
0.287966,19472
0.288746,19536
0.289526,19600
0.290305,19664
0.291093,19728
0.291889,19808
0.292681,19856
0.293511,19936
0.294388,19984
0.295393,20112
0.296556,20208
0.297617,20288
0.299785,20448
0.300794,20528
0.301633,20640
0.302451,20704
0.303264,20752
0.304074,20832
0.304883,20896
0.305689,20960
0.306512,21040
0.307368,21104
0.308255,21184
0.309259,21248
0.310147,21328
0.310962,21408
0.311760,21472
0.312563,21520
0.313363,21600
0.314160,21680
0.314957,21744
0.315755,21792
0.316553,21856
0.317348,21936
0.318141,21952
0.318929,22016
0.319747,22096
0.320554,22160
0.321351,22208
0.322251,22320
0.323068,22368
0.323910,22448
0.324725,22480
0.325536,22560
0.326346,22624
0.327157,22656
0.328132,22736
0.328961,22816
0.329766,22848
0.330563,22944
0.331363,22992
0.332156,23056
0.332981,23120
0.333783,23200
0.334581,23264
0.335585,23360
0.336592,23408
0.337396,23520
0.338195,23536
0.339009,23616
0.339992,23664
0.340909,23760
0.341783,23808
0.342586,23872
0.343384,23952
0.344181,24000
0.344978,24080
0.345773,24128
0.346568,24208
0.347361,24256
0.348148,24320
0.349217,24400
0.350040,24480
0.350841,24528
0.351641,24608
0.352439,24656
0.353236,24720
0.354035,24768
0.354830,24832
0.355624,24896
0.356430,24944
0.357235,25056
0.358043,25088
0.358851,25152
0.359656,25248
0.360645,25296
0.361472,25376
0.362281,25456
0.363089,25488
0.364274,25584
0.365139,25648
0.365957,25728
0.366761,25760
0.367561,25840
0.368360,25904
0.369168,25968
0.370549,26080
0.371692,26144
0.373206,26224
0.374552,26336
0.375785,26416
0.376701,26432
0.377538,26480
0.378349,26496
0.379160,26496
0.379953,26464
0.380752,26480
0.381550,26464
0.382401,26464
0.383216,26496
0.384022,26496
0.384843,26464
0.385646,26480
0.386442,26496
0.387237,26464
0.388047,26480
0.388994,26480
0.389818,26496
0.390654,26464
0.391548,26496
0.392573,26464
0.394807,26496
0.395699,26512
0.396520,26480
0.397388,26496
0.398222,26448
0.399083,26496
0.399917,26480
0.400898,26480
0.402282,26480
0.403203,26448
0.405075,26464
0.406330,26464
0.407150,26480
0.407965,26480
0.408942,26480
0.409966,26448
0.410769,26464
0.411565,26448
0.412375,26464
0.413183,26464
0.413988,26480
0.414791,26480
0.415601,26464
0.416408,26496
0.417213,26496
0.418001,26448
0.418805,26464
0.419593,26480
0.420381,26480
0.421436,26448
0.422306,26480
0.423123,26464
0.423964,26496
0.424867,26464
0.426450,26480
0.427619,26464
0.428589,26448
0.429905,26464
0.430775,26448
0.431613,26480
0.432441,26496
0.433659,26464
0.434608,26480
0.436446,26464
0.437638,26480
0.438875,26448
0.439747,26480
0.440644,26480
0.441497,26480
0.442449,26480
0.443303,26480
0.444155,26464
0.444995,26496
0.445819,26464
0.446625,26480
0.447420,26464
0.448215,26448
0.449009,26464
0.449791,26464
0.450578,26480
0.451367,26496
0.452155,26480
0.452964,26480
0.453768,26464
0.454573,26432
0.455361,26464
0.456149,26464
0.456967,26464
0.457773,26480
0.458566,26464
0.459372,26496
0.460163,26480
0.460955,26480
0.461756,26480
0.462565,26464
0.463370,26464
0.464183,26480
0.465071,26480
0.465926,26512
0.466766,26464
0.467577,26464
0.468369,26464
0.469176,26496
0.469982,26464
0.471139,26464
0.472147,26480
0.473483,26480
0.475345,26464
0.476799,26464
0.477704,26480
0.478529,26480
0.479340,26464
0.480140,26464
0.480941,26480
0.481770,26448
0.482581,26480
0.483384,26480
0.484181,26480
0.484981,26480
0.485767,26480
0.486578,26480
0.487397,26480
0.488209,26496
0.489008,26496
0.489817,26480
0.490626,26512
0.491433,26464
0.492241,26464
0.493033,26464
0.494021,26496
0.495008,26464
0.495841,26480
0.496696,26448
0.497557,26464
0.498574,26464
0.499423,26480
0.500235,26448
0.501030,26432
0.501821,26480
0.502911,26464
0.503893,26448
0.504735,26496
0.505555,26480
0.506376,26464
0.507383,26480
0.508312,26480
0.509154,26464
0.510003,26448
0.510833,26480
0.511680,26464
0.512511,26480
0.513352,26480
0.514182,26480
0.515021,26480
0.515851,26464
0.516699,26496
0.517535,26480
0.518375,26464
0.519206,26448
0.520014,26480
0.520877,26448
0.521710,26448
0.522536,26496
0.523347,26480
0.524147,26464
0.524950,26448
0.525746,26496
0.526616,26496
0.527473,26480
0.528383,26480
0.529292,26464
0.530463,26464
0.531602,26496
0.532431,26496
0.533227,26480
0.534029,26496
0.534838,26480
0.535677,26464
0.536499,26480
0.537310,26480
0.538146,26496
0.539151,26464
0.539972,26480
0.540811,26480
0.541606,26480
0.542415,26448
0.543220,26480
0.544024,26496
0.544817,26496
0.545609,26480
0.546399,26432
