Time,Raw Value,Voltage
4254.863360142,0,0
4254.865415663,2032,0.25
4254.867001164,2032,0.26
4254.868560518,2032,0.25
4254.870123575,2032,0.25
4254.871667151,2048,0.26
4254.873202968,2048,0.25
4254.874740581,2048,0.26
4254.876274768,2048,0.26
4254.877817085,2032,0.26
4254.879357438,2032,0.26
4254.880904533,2048,0.26
4254.882466849,2048,0.26
4254.884057351,2048,0.26
4254.885786686,2048,0.25
4254.887383966,2048,0.26
4254.888942857,2048,0.26
4254.890528711,2048,0.26
4254.89212662,2048,0.26
4254.893754066,2048,0.26
4254.89534342,2048,0.26
4254.896930366,2048,0.26
4254.898514831,2048,0.26
4254.900113463,2048,0.26
4254.901711131,2048,0.26
4254.903302337,2064,0.26
4254.90490895,2048,0.26
4254.906542803,2048,0.26
4254.908147213,2048,0.26
4254.909740937,2048,0.26
4254.911374717,2064,0.26
4254.913058515,2048,0.26
4254.914686665,2048,0.26
4254.916266982,2048,0.26
4254.917918669,2048,0.26
4254.919490319,2048,0.26
4254.921067265,2048,0.26
4254.922665156,2048,0.26
4254.924347473,2048,0.26
4254.925985567,2048,0.26
4254.927688625,2048,0.26
4254.929286571,2064,0.26
4254.930879147,2048,0.26
4254.932426426,2048,0.26
4254.934002762,2048,0.26
4254.935594319,2048,0.26
4254.937174321,2048,0.26
4254.938707563,2048,0.26
4254.940277991,2048,0.26
4254.941811956,2048,0.26
4254.943355273,2048,0.26
4254.944912812,2048,0.26
4254.946495184,2048,0.26
4254.948100538,2048,0.26
4254.949660632,2048,0.26
4254.951275449,2032,0.26
4254.952885691,2048,0.26
4254.954474952,2032,0.26
4254.956036158,2048,0.26
4254.957578456,2048,0.26
4254.959120662,2048,0.26
4254.960779552,2048,0.26
4254.962340314,2048,0.26
4254.963879815,2048,0.26
4254.965574836,2048,0.26
4254.967198412,2048,0.26
4254.96872458,2048,0.26
4254.970350786,2048,0.26
4254.971955936,2048,0.26
4254.973497308,2048,0.26
4254.975044217,2048,0.26
4254.97662346,2064,0.26
4254.978192165,2048,0.26
4254.97975126,2048,0.26
4254.981310225,2048,0.26
4254.982967319,2048,0.26
4254.984527895,2048,0.26
4254.986071101,2048,0.26
4254.987602936,2048,0.26
4254.989155178,2048,0.26
4254.990697106,2048,0.26
4254.992283126,2048,0.26
4254.993844776,2048,0.26
4254.995451001,2048,0.26
4254.997020984,2048,0.26
4254.998620078,2048,0.26
4255.000207451,2048,0.25
4255.001762508,2048,0.26
4255.003326214,2048,0.26
4255.004927956,2064,0.26
4255.006503847,2048,0.26
4255.008069497,2048,0.26
4255.00967398,2048,0.26
4255.011301445,2048,0.26
4255.01285491,2048,0.26
4255.014394023,2048,0.26
4255.015922247,2048,0.26
4255.017493749,2048,0.26
4255.019089658,2048,0.26
4255.020654234,2048,0.25
4255.022253421,2048,0.26
4255.023866015,2032,0.26
4255.025402277,2048,0.26
4255.02699739,2048,0.26
4255.028583947,2048,0.26
4255.030159838,2048,0.26
